"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-5";27892;26327;1;649;54869
"'6-11";57215;51875;4;1621;110715
"'12-15";36349;33931;6;585;70871
"16-19";41142;40636;5;584;82367
"20-34";182725;171795;11;2904;357435
"35-59";261162;268376;17;3836;533391
"60-79";87157;85708;2;882;173749
"80+";25313;45536;2;453;71304
"Unbekannt";156;142;0;12;310
"Gesamt";719111;724326;48;11526;1455011
