"Meldelandkreis";"Insgesamt VOC";"Alpha B.1.1.7";"Beta B.1.351";"Gamma P.1";"Delta B.1.617.2";"PCR-Hinweis auf VOC";"andere/ sonstige";"Gesamt"
"LK Aichach-Friedberg";1733;1042;11;0;543;137;4386;6119
"LK Altötting";2442;1564;2;3;851;22;4634;7076
"LK Amberg-Sulzbach";1399;805;0;1;241;352;3779;5178
"LK Ansbach";1852;1585;1;2;232;32;7588;9440
"LK Aschaffenburg";2141;1425;4;1;680;31;6867;9008
"LK Augsburg";3702;2166;114;23;1291;108;9517;13219
"LK Bad Kissingen";1071;830;36;0;154;51;2962;4033
"LK Bad Tölz-Wolfratshausen";1797;982;0;0;750;65;4536;6333
"LK Bamberg";1598;1140;17;3;433;5;4697;6295
"LK Bayreuth";1362;1185;1;0;176;0;3874;5236
"LK Berchtesgadener Land";1647;751;12;4;880;0;6108;7755
"LK Cham";3677;2966;3;5;649;54;4315;7992
"LK Coburg";1525;1245;3;0;267;10;3772;5297
"LK Dachau";2681;1603;2;1;1042;33;7138;9819
"LK Deggendorf";1219;274;1;1;346;597;6668;7887
"LK Dillingen a.d.Donau";1637;1011;26;0;591;9;2894;4531
"LK Dingolfing-Landau";2651;1976;13;1;632;29;4072;6723
"LK Donau-Ries";2351;1445;45;1;707;153;4564;6915
"LK Ebersberg";2054;966;6;2;1028;52;5514;7568
"LK Eichstätt";1816;1300;1;7;479;29;4221;6037
"LK Erding";2492;1302;6;12;1132;40;5830;8322
"LK Erlangen-Höchstadt";1318;953;2;7;307;49;4750;6068
"LK Forchheim";1606;1194;1;3;399;9;3745;5351
"LK Freising";2823;1773;9;8;934;99;6800;9623
"LK Freyung-Grafenau";1398;933;26;0;373;66;4005;5403
"LK Fürstenfeldbruck";2798;1776;11;0;972;39;8380;11178
"LK Fürth";1609;1116;8;0;470;15;4430;6039
"LK Garmisch-Partenkirchen";1124;849;4;2;226;43;2878;4002
"LK Günzburg";2493;1702;100;1;630;60;5407;7900
"LK Haßberge";1590;1312;18;0;230;30;2892;4482
"LK Hof";2379;2135;5;0;209;30;4330;6709
"LK Kelheim";2204;1568;1;3;598;34;4656;6860
"LK Kitzingen";1071;710;2;3;348;8;2663;3734
"LK Kronach";940;857;2;1;70;10;3543;4483
"LK Kulmbach";1657;1359;0;0;238;60;2733;4390
"LK Landsberg a.Lech";1442;728;136;0;485;93;3464;4906
"LK Landshut";2945;1630;0;1;929;385;6152;9097
"LK Lichtenfels";1364;1155;1;0;201;7;2501;3865
"LK Lindau";1257;823;13;0;402;19;2725;3982
"LK Main-Spessart";1656;1279;2;1;365;9;3529;5185
"LK Miesbach";1251;802;2;0;429;18;4211;5462
"LK Miltenberg";1969;1307;2;0;643;17;4822;6791
"LK Mühldorf a.Inn";2494;1681;6;10;777;20;5452;7946
"LK München";4441;2584;6;4;1674;173;13480;17921
"LK Neu-Ulm";3032;2153;70;3;785;21;6109;9141
"LK Neuburg-Schrobenhausen";1563;996;1;2;539;25;3354;4917
"LK Neumarkt i.d.OPf.";1249;594;0;0;585;70;6445;7694
"LK Neustadt a.d.Aisch-Bad Windsheim";1382;1015;0;0;325;42;3519;4901
"LK Neustadt a.d.Waldnaab";1398;496;1;0;194;707;4158;5556
"LK Nürnberger Land";1938;1495;5;7;393;38;6265;8203
"LK Oberallgäu";2688;1774;53;2;773;86;4266;6954
"LK Ostallgäu";3332;2403;28;2;840;59;4971;8303
"LK Passau";2618;1947;33;2;608;28;11245;13863
"LK Pfaffenhofen a.d.Ilm";2093;1361;2;35;619;76;4419;6512
"LK Regen";1571;1153;1;1;401;15;4517;6088
"LK Regensburg";3247;2444;0;1;737;65;6195;9442
"LK Rhön-Grabfeld";1187;938;5;3;237;4;2780;3967
"LK Rosenheim";4637;2331;1;7;2191;107;12789;17426
"LK Roth";1787;1205;3;0;562;17;4674;6461
"LK Rottal-Inn";2282;1656;13;11;588;14;6186;8468
"LK Schwandorf";3844;3193;1;2;576;72;5330;9174
"LK Schweinfurt";1575;1264;29;4;276;2;4292;5867
"LK Starnberg";1540;818;2;3;694;23;4532;6072
"LK Straubing-Bogen";1988;1389;1;1;559;38;4119;6107
