"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";22344;20708;1;746;43799
"'10-19";35458;34059;5;932;70454
"20-29";56028;51103;4;1506;108641
"30-39";48531;45459;5;1390;95385
"40-49";45343;47611;4;1263;94221
"50-59";52893;51635;6;1002;105536
"60-69";26837;25025;2;433;52297
"70-79";16457;17653;2;265;34377
"80-89";11680;20779;12;293;32764
"90-99";2150;7346;2;86;9584
"100+";24;153;0;4;181
"Unbekannt";23;22;0;8;53
"Gesamt";317768;321553;43;7928;647292
