"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";831;772;8;1611
"'10-19";1521;1663;3;3187
"20-29";4093;3959;14;8066
"30-39";3564;3450;15;7029
"40-49";3440;4123;8;7571
"50-59";4513;5035;9;9557
"60-69";2631;2270;1;4902
"70-79";2114;2027;2;4143
"80-89";1549;2493;1;4043
"90-99";251;821;0;1072
"100+";0;13;0;13
"Unbekannt";3;6;14;23
"Gesamt";24510;26632;75;51217
