"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";13703;12657;1;576;26937
"'10-19";23646;23232;4;707;47589
"20-29";40419;37581;4;1329;79333
"30-39";34366;32464;8;1217;68055
"40-49";32032;34732;5;1127;67896
"50-59";38450;39049;6;895;78400
"60-69";20148;18728;3;396;39275
"70-79";13412;14356;6;268;28042
"80-89";10350;18633;18;307;29308
"90-99";1971;6779;5;102;8857
"100+";32;141;0;4;177
"Unbekannt";30;31;0;26;87
"Gesamt";228559;238383;60;6954;473956
