"Meldelandkreis";"Insgesamt VOC";"Alpha B.1.1.7";"Beta B.1.351";"Gamma P.1";"Delta B.1.617.2";"PCR-Hinweis auf VOC";"andere/ sonstige";"Gesamt"
"LK Aichach-Friedberg";2035;1042;11;0;844;138;5846;7881
"LK Altötting";4049;1564;2;3;2458;22;5365;9414
"LK Amberg-Sulzbach";1765;805;0;1;607;352;4495;6260
"LK Ansbach";2540;1583;1;2;916;38;9258;11798
"LK Aschaffenburg";2709;1425;4;1;1248;31;7551;10260
"LK Augsburg";5155;2166;114;23;2743;109;11883;17038
"LK Bad Kissingen";1275;830;36;0;363;46;4016;5291
"LK Bad Tölz-Wolfratshausen";3042;988;1;0;1984;69;7064;10106
"LK Bamberg";2045;1139;17;3;876;10;5997;8042
"LK Bayreuth";1676;1185;1;0;490;0;4516;6192
"LK Berchtesgadener Land";2982;751;12;4;2208;7;8024;11006
"LK Cham";4351;2966;3;5;1323;54;5888;10239
"LK Coburg";1861;1244;3;0;601;13;4211;6072
"LK Dachau";3512;1603;2;1;1873;33;8233;11745
"LK Deggendorf";2328;276;1;1;1453;597;8334;10662
"LK Dillingen a.d.Donau";2478;1010;26;0;1431;11;3890;6368
"LK Dingolfing-Landau";3246;2006;13;1;1197;29;6273;9519
"LK Donau-Ries";3066;1444;45;1;1422;154;5890;8956
"LK Ebersberg";4000;965;6;3;2974;52;6179;10179
"LK Eichstätt";3175;1301;1;7;1837;29;4610;7785
"LK Erding";4031;1302;6;12;2635;76;6827;10858
"LK Erlangen-Höchstadt";1883;954;2;7;855;65;5592;7475
"LK Forchheim";2064;1194;1;3;828;38;4569;6633
"LK Freising";3991;1780;9;9;2094;99;8004;11995
"LK Freyung-Grafenau";2087;932;26;1;1062;66;5220;7307
"LK Fürstenfeldbruck";3491;1777;11;0;1654;49;9680;13171
"LK Fürth";2392;1116;8;0;1249;19;4968;7360
"LK Garmisch-Partenkirchen";1669;849;4;2;706;108;3813;5482
"LK Günzburg";3451;1702;100;1;1588;60;6730;10181
"LK Haßberge";2175;1312;18;0;813;32;3377;5552
"LK Hof";2786;2137;5;0;613;31;4948;7734
"LK Kelheim";3095;1569;3;3;1483;37;5615;8710
"LK Kitzingen";1549;710;3;3;814;19;3054;4603
"LK Kronach";1063;857;2;1;193;10;4576;5639
"LK Kulmbach";1878;1362;0;0;456;60;3080;4958
"LK Landsberg a.Lech";1989;728;136;1;1010;114;4153;6142
"LK Landshut";4480;1629;0;3;2463;385;7677;12157
"LK Lichtenfels";1540;1155;2;0;376;7;2940;4480
"LK Lindau";1611;823;13;0;756;19;3370;4981
"LK Main-Spessart";2003;1279;2;1;712;9;3890;5893
"LK Miesbach";1698;802;2;0;876;18;6758;8456
"LK Miltenberg";2544;1307;2;0;1218;17;5398;7942
"LK Mühldorf a.Inn";4667;1681;6;10;2950;20;7206;11873
"LK München";6368;2584;7;5;3597;175;15297;21665
"LK Neu-Ulm";4252;2151;70;3;2006;22;7739;11991
"LK Neuburg-Schrobenhausen";2285;996;1;2;1261;25;3937;6222
"LK Neumarkt i.d.OPf.";2030;595;1;0;1358;76;8431;10461
"LK Neustadt a.d.Aisch-Bad Windsheim";1896;1016;0;1;834;45;4076;5972
"LK Neustadt a.d.Waldnaab";1807;496;1;0;603;707;4922;6729
"LK Nürnberger Land";2708;1495;7;8;1158;40;7081;9789
"LK Oberallgäu";2948;1775;53;2;1016;102;7852;10800
"LK Ostallgäu";4159;2403;28;2;1662;64;7185;11344
"LK Passau";3937;1947;33;2;1927;28;14858;18795
"LK Pfaffenhofen a.d.Ilm";2802;1362;2;35;1327;76;5478;8280
"LK Regen";2022;1153;1;0;853;15;6060;8082
"LK Regensburg";4085;2444;2;1;1561;77;8318;12403
"LK Rhön-Grabfeld";1950;938;5;3;998;6;2924;4874
"LK Rosenheim";6573;2331;1;7;4127;107;16786;23359
"LK Roth";2633;1205;3;0;1401;24;5431;8064
"LK Rottal-Inn";2675;1656;13;11;981;14;9474;12149
"LK Schwandorf";4915;3193;1;2;1647;72;6416;11331
"LK Schweinfurt";2082;1264;29;4;783;2;5023;7105
"LK Starnberg";2205;818;2;3;1359;23;5262;7467
"LK Straubing-Bogen";2865;1390;2;1;1430;42;5770;8635
"LK Tirschenreuth";1896;1564;0;0;319;13;4203;6099
"LK Traunstein";5574;2605;23;3;2900;43;13641;19215
"LK Unterallgäu";4217;2343;3;7;1848;16;7299;11516
"LK Weilheim-Schongau";2596;1091;5;0;1499;1;5035;7631
"LK Weißenburg-Gunzenhausen";1611;800;3;0;741;67;4824;6435
"LK Wunsiedel i.Fichtelgebirge";2224;1549;0;0;669;6;3778;6002
"LK Würzburg";2461;1055;7;4;1392;3;4055;6516
"SK Amberg";1011;319;0;1;511;180;1570;2581
"SK Ansbach";477;239;0;1;226;11;2087;2564
"SK Aschaffenburg";1536;759;1;1;757;18;3191;4727
"SK Augsburg";9056;3118;70;12;5308;548;16373;25429
"SK Bamberg";1251;582;5;0;657;7;3112;4363
"SK Bayreuth";1285;908;0;0;377;0;3027;4312
"SK Coburg";879;587;4;1;285;2;2082;2961
"SK Erlangen";1230;645;0;1;560;24;4156;5386
"SK Fürth";3871;2038;6;2;1791;34;6651;10522
"SK Hof";1799;1406;2;0;332;59;2754;4553
"SK Ingolstadt";3423;1404;1;12;1989;17;6235;9658
"SK Kaufbeuren";1178;700;0;0;465;13;2156;3334
"SK Kempten";1869;1262;28;0;516;63;3327;5196
"SK Landshut";2170;746;1;0;1188;235;3466;5636
"SK Memmingen";996;521;5;9;431;30;2383;3379
"SK München";32087;12750;95;42;18386;814;72698;104785
"SK Nürnberg";9710;5899;18;4;3504;285;36538;46248
"SK Passau";825;401;0;0;418;6;3630;4455
"SK Regensburg";3829;2051;3;1;1720;54;7368;11197
"SK Rosenheim";1994;724;0;10;1224;36;4118;6112
"SK Schwabach";850;381;0;0;464;5;2184;3034
"SK Schweinfurt";1703;1068;25;9;599;2;2876;4579
"SK Straubing";1302;642;0;1;648;11;2314;3616
"SK Weiden i.d.OPf.";921;309;2;1;302;307;2381;3302
"SK Würzburg";2600;1137;4;0;1456;3;4044;6644
