"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";22539;20899;1;721;44160
"'10-19";36035;34595;5;891;71526
"20-29";56789;51689;4;1464;109946
"30-39";48979;45831;5;1356;96171
"40-49";45619;47916;4;1236;94775
"50-59";53151;51852;6;969;105978
"60-69";26918;25117;2;426;52463
"70-79";16481;17691;2;259;34433
"80-89";11707;20818;12;290;32827
"90-99";2151;7354;2;85;9592
"100+";22;151;0;4;177
"Unbekannt";22;22;0;6;50
"Gesamt";320413;323935;43;7707;652098
