"age.cat";"männlich";"weiblich";"divers";"unbekannt";"gesamt"
"0-5";"2";"3";"0";"0";"5"
"'6-11";"2";"2";"0";"0";"4"
"'12-15";"0";"1";"0";"0";"1"
"16-19";"1";"1";"0";"0";"2"
"20-34";"25";"23";"0";"0";"48"
"35-59";"751";"313";"0";"2";"1066"
"60-79";"4063";"2199";"0";"20";"6282"
"80+";"6241";"7614";"0";"51";"13906"
"unbekannt";"0";"0";"0";"0";"0"
"Gesamt";"11085";"10156";"0";"73";"21314"
