"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";1498;1388;38;2924
"'10-19";3127;3022;48;6197
"20-29";6739;6186;82;13007
"30-39";5104;4872;57;10033
"40-49";4710;5452;47;10209
"50-59";5632;5938;22;11592
"60-69";3028;2659;12;5699
"70-79";2329;2227;5;4561
"80-89";1629;2621;4;4254
"90-99";262;860;0;1122
"100+";2;15;0;17
"Unbekannt";11;12;3;26
"Gesamt";34071;35252;318;69641
