"Meldelandkreis";"Insgesamt VOC";"Alpha B.1.1.7";"Beta B.1.351";"Gamma P.1";"Delta B.1.617.2";"PCR-Hinweis auf VOC";"andere/ sonstige";"Gesamt"
"LK Aichach-Friedberg";2222;1044;11;0;1028;139;7286;9508
"LK Altötting";5444;1565;2;3;3852;22;6070;11514
"LK Amberg-Sulzbach";2300;805;0;1;1142;352;5384;7684
"LK Ansbach";3125;1584;1;2;1499;39;11245;14370
"LK Aschaffenburg";3168;1425;4;1;1707;31;8483;11651
"LK Augsburg";5925;2166;114;23;3513;109;14508;20433
"LK Bad Kissingen";1398;830;37;0;484;47;4838;6236
"LK Bad Tölz-Wolfratshausen";3267;988;1;0;2209;69;8749;12016
"LK Bamberg";2196;1139;17;3;1025;12;8243;10439
"LK Bayreuth";1854;1185;1;0;668;0;5337;7191
"LK Berchtesgadener Land";4249;751;12;4;3475;7;9361;13610
"LK Cham";4686;2966;3;5;1658;54;7552;12238
"LK Coburg";1994;1244;3;0;734;13;5155;7149
"LK Dachau";3595;1603;2;1;1956;33;9931;13526
"LK Deggendorf";2879;276;1;1;2000;601;10004;12883
"LK Dillingen a.d.Donau";2965;1011;26;0;1916;12;4771;7736
"LK Dingolfing-Landau";3698;1993;13;1;1658;33;8090;11788
"LK Donau-Ries";3572;1442;45;1;1930;154;8273;11845
"LK Ebersberg";5201;965;6;3;4175;52;6863;12064
"LK Eichstätt";4631;1301;1;7;3292;30;4653;9284
"LK Erding";5639;1302;6;12;4244;75;7206;12845
"LK Erlangen-Höchstadt";2235;954;2;8;1219;52;6410;8645
"LK Forchheim";2105;1198;1;3;864;39;5648;7753
"LK Freising";4869;1783;9;9;2969;99;8996;13865
"LK Freyung-Grafenau";2601;932;26;1;1576;66;7035;9636
"LK Fürstenfeldbruck";4396;1777;11;0;2559;49;11383;15779
"LK Fürth";2976;1116;8;0;1833;19;5662;8638
"LK Garmisch-Partenkirchen";1997;848;4;2;1035;108;4617;6614
"LK Günzburg";3606;1702;100;1;1743;60;8892;12498
"LK Haßberge";2586;1312;18;0;1224;32;4122;6708
"LK Hof";3049;2137;5;0;876;31;5525;8574
"LK Kelheim";3353;1569;3;3;1740;38;6859;10212
"LK Kitzingen";1822;710;3;3;1087;19;3606;5428
"LK Kronach";1063;857;2;1;193;10;5660;6723
"LK Kulmbach";2015;1364;0;0;591;60;3400;5415
"LK Landsberg a.Lech";2219;728;136;1;1242;112;5406;7625
"LK Landshut";5539;1629;0;3;3522;385;9683;15222
"LK Lichtenfels";1619;1155;2;0;455;7;3751;5370
"LK Lindau";1647;823;13;0;792;19;4290;5937
"LK Main-Spessart";2485;1279;2;1;1194;9;4102;6587
"LK Miesbach";1902;802;2;0;1080;18;7900;9802
"LK Miltenberg";2902;1307;2;0;1575;18;6035;8937
"LK Mühldorf a.Inn";6362;1681;6;11;4642;22;8044;14406
"LK München";7703;2584;7;4;4933;175;17347;25050
"LK Neu-Ulm";4627;2150;70;4;2382;21;9575;14202
"LK Neuburg-Schrobenhausen";3233;996;2;2;2208;25;4544;7777
"LK Neumarkt i.d.OPf.";2113;595;1;0;1441;76;10520;12633
"LK Neustadt a.d.Aisch-Bad Windsheim";2186;1016;0;2;1122;46;4731;6917
"LK Neustadt a.d.Waldnaab";1848;496;1;0;644;707;6195;8043
"LK Nürnberger Land";3226;1495;11;9;1669;42;8489;11715
"LK Oberallgäu";3737;1775;53;2;1805;102;9579;13316
"LK Ostallgäu";4192;2403;28;2;1691;68;9744;13936
"LK Passau";4467;1947;33;2;2457;28;19030;23497
"LK Pfaffenhofen a.d.Ilm";3129;1362;2;35;1654;76;6790;9919
"LK Regen";2582;1153;1;0;1413;15;7054;9636
"LK Regensburg";4220;2442;2;1;1698;77;10235;14455
"LK Rhön-Grabfeld";2908;938;5;3;1956;6;2975;5883
"LK Rosenheim";7419;2331;10;7;4964;107;22051;29470
