"Meldelandkreis";"Insgesamt VOC";"Alpha B.1.1.7";"Beta B.1.351";"Gamma P.1";"Delta B.1.617.2";"PCR-Hinweis auf VOC";"andere/ sonstige";"Gesamt"
"LK Aichach-Friedberg";1188;1041;10;0;0;137;3991;5179
"LK Altötting";1588;1560;2;3;2;21;4459;6047
"LK Amberg-Sulzbach";1158;740;0;1;0;417;3674;4832
"LK Ansbach";1608;1577;1;2;2;26;6799;8407
"LK Aschaffenburg";1455;1406;4;1;13;31;6563;8018
"LK Augsburg";2410;2158;114;22;11;105;9036;11446
"LK Bad Kissingen";887;813;34;0;0;40;2756;3643
"LK Bad Tölz-Wolfratshausen";1033;977;0;0;1;55;4038;5071
"LK Bamberg";1166;1131;14;3;5;13;4447;5613
"LK Bayreuth";1164;89;0;0;0;1075;3769;4933
"LK Berchtesgadener Land";769;748;12;4;5;0;5252;6021
"LK Cham";2996;2929;3;3;1;60;4137;7133
"LK Coburg";1240;1221;2;1;1;15;3649;4889
"LK Dachau";1637;1594;1;1;8;33;6606;8243
"LK Deggendorf";866;266;1;0;3;596;6126;6992
"LK Dillingen a.d.Donau";1037;1002;26;0;1;8;2739;3776
"LK Dingolfing-Landau";1982;1955;8;0;4;15;3834;5816
"LK Donau-Ries";1637;1441;43;0;0;153;4357;5994
"LK Ebersberg";1026;959;6;2;9;50;5339;6365
"LK Eichstätt";1332;1109;1;7;0;215;3741;5073
"LK Erding";1333;1287;4;9;3;30;5638;6971
"LK Erlangen-Höchstadt";1005;949;1;7;0;48;4412;5417
"LK Forchheim";1154;1141;0;0;5;8;3636;4790
"LK Freising";1746;1589;6;4;7;140;6433;8179
"LK Freyung-Grafenau";1008;921;21;0;0;66;3906;4914
"LK Fürstenfeldbruck";1780;1727;9;0;7;37;7942;9722
"LK Fürth";1119;1090;8;0;7;14;4248;5367
"LK Garmisch-Partenkirchen";854;816;4;1;2;31;2794;3648
"LK Günzburg";1846;1686;98;1;4;57;5118;6964
"LK Haßberge";1329;1283;17;0;0;29;2742;4071
"LK Hof";2159;2123;5;0;0;31;4242;6401
"LK Kelheim";1557;1520;1;3;1;32;4381;5938
"LK Kitzingen";742;705;2;3;24;8;2549;3291
"LK Kronach";871;857;2;1;1;10;3355;4226
"LK Kulmbach";1407;1341;2;0;3;61;2680;4087
"LK Landsberg a.Lech";935;720;138;0;0;77;3161;4096
"LK Landshut";2004;1622;0;1;1;380;6013;8017
"LK Lichtenfels";1156;1148;1;0;0;7;2429;3585
"LK Lindau";839;802;13;0;5;19;2610;3449
"LK Main-Spessart";1291;1275;2;0;4;10;3465;4756
"LK Miesbach";821;799;2;0;2;18;3765;4586
"LK Miltenberg";1325;1298;2;0;8;17;4673;5998
"LK Mühldorf a.Inn";1715;1678;6;8;4;19;5255;6970
"LK München";2757;2572;6;3;16;160;12610;15367
"LK Neu-Ulm";2153;2014;70;3;7;59;5608;7761
"LK Neuburg-Schrobenhausen";1023;994;1;2;0;26;3151;4174
"LK Neumarkt i.d.OPf.";665;587;0;0;9;69;5904;6569
"LK Neustadt a.d.Aisch-Bad Windsheim";1054;1010;0;1;0;43;3331;4385
"LK Neustadt a.d.Waldnaab";1204;71;1;0;1;1131;4053;5257
"LK Nürnberger Land";1491;1441;4;7;4;35;5954;7445
"LK Oberallgäu";1921;1769;53;1;9;89;4050;5971
"LK Ostallgäu";2502;2403;28;2;12;57;4657;7159
"LK Passau";2012;1911;33;2;4;62;10949;12961
"LK Pfaffenhofen a.d.Ilm";1470;1355;2;34;2;77;4179;5649
"LK Regen";1102;1075;1;0;9;17;4429;5531
"LK Regensburg";2499;2425;0;1;12;61;5798;8297
"LK Rhön-Grabfeld";938;926;5;3;1;3;2609;3547
"LK Rosenheim";2442;2324;1;6;4;107;11491;13933
"LK Roth";1226;1205;3;0;1;17;4463;5689
"LK Rottal-Inn";1695;1656;13;11;1;14;5855;7550
"LK Schwandorf";3224;3081;0;0;0;143;5153;8377
"LK Schweinfurt";1305;1264;29;3;7;2;3842;5147
"LK Starnberg";848;813;3;2;7;23;4254;5102
"LK Straubing-Bogen";1407;1367;1;1;2;36;3962;5369
"LK Tirschenreuth";1532;1513;0;0;0;19;3783;5315
"LK Traunstein";2668;2606;16;0;3;43;8408;11076
"LK Unterallgäu";2367;2340;3;6;1;17;4915;7282
"LK Weilheim-Schongau";1098;1089;5;0;2;2;4062;5160
"LK Weißenburg-Gunzenhausen";880;800;3;0;10;67;3041;3921
"LK Wunsiedel i.Fichtelgebirge";1532;1518;0;0;0;14;3492;5024
"LK Würzburg";1081;1042;5;3;23;8;3377;4458
"SK Amberg";499;288;0;0;2;209;1248;1747
"SK Ansbach";243;234;0;1;2;6;1630;1873
"SK Aschaffenburg";779;750;1;1;9;18;2715;3494
"SK Augsburg";3767;3119;69;12;27;540;14212;17979
"SK Bamberg";588;577;3;0;5;3;2517;3105
"SK Bayreuth";889;57;0;0;0;832;2580;3469
"SK Coburg";585;579;3;0;0;3;1818;2403
"SK Erlangen";666;642;0;0;2;22;3334;4000
"SK Fürth";2063;2022;6;2;6;27;5673;7736
"SK Hof";1456;1393;1;0;0;62;2505;3961
"SK Ingolstadt";1439;1401;1;10;10;17;4748;6187
"SK Kaufbeuren";708;700;0;0;0;8;1680;2388
"SK Kempten";1344;1266;27;0;0;51;1934;3278
"SK Landshut";988;743;1;0;10;234;3100;4088
"SK Memmingen";565;521;5;9;0;30;1688;2253
"SK München";14429;12395;52;28;181;1773;59229;73658
"SK Nürnberg";6001;5748;11;2;26;214;28685;34686
"SK Passau";407;392;0;0;4;11;2992;3399
"SK Regensburg";2095;2046;3;1;10;35;4904;6999
"SK Rosenheim";767;720;0;9;2;36;3169;3936
"SK Schwabach";383;380;0;0;0;3;1766;2149
"SK Schweinfurt";1111;1069;25;8;6;3;2055;3166
"SK Straubing";652;640;0;1;0;11;1727;2379
"SK Weiden i.d.OPf.";618;30;2;0;0;586;2078;2696
"SK Würzburg";1142;1120;4;0;12;6;3407;4549
