"age.cat";"männlich";"weiblich";"divers";"unbekannt";"gesamt"
"0-5";"2";"4";"0";"0";"6"
"'6-11";"2";"2";"0";"0";"4"
"'12-15";"0";"1";"0";"0";"1"
"16-19";"1";"1";"0";"0";"2"
"20-34";"27";"24";"0";"0";"51"
"35-59";"790";"342";"0";"2";"1134"
"60-79";"4338";"2353";"0";"21";"6712"
"80+";"6791";"8198";"0";"55";"15044"
"unbekannt";"0";"0";"0";"0";"0"
"Gesamt";"11951";"10925";"0";"78";"22954"
