"age.cat";"männlich";"weiblich";"divers";"unbekannt";"gesamt"
"0-5";"2";"3";"0";"0";"5"
"'6-11";"2";"2";"0";"0";"4"
"'12-15";"0";"1";"0";"0";"1"
"16-19";"1";"1";"0";"0";"2"
"20-34";"27";"23";"0";"0";"50"
"35-59";"766";"326";"0";"2";"1094"
"60-79";"4154";"2247";"0";"20";"6421"
"80+";"6444";"7805";"0";"52";"14301"
"unbekannt";"0";"0";"0";"0";"0"
"Gesamt";"11396";"10408";"0";"74";"21878"
