"Meldelandkreis";"Insgesamt VOC";"B.1.1.7 (UK-Variante)";"B.1.351 (SüdAfrika-Variante)";"P.1 (Brazil-Variante)";"PCR-Hinweis auf VOC";"andere/ sonstige";"Gesamt"
"LK Aichach-Friedberg";1118;975;9;0;134;4016;5134
"LK Altötting";1505;1470;2;1;32;4461;5966
"LK Amberg-Sulzbach";1096;679;0;0;417;3684;4780
"LK Ansbach";1500;1479;1;0;20;6690;8190
"LK Aschaffenburg";1343;1307;4;0;32;6568;7911
"LK Augsburg";2146;1913;108;19;106;9078;11224
"LK Bad Kissingen";828;760;29;0;39;2752;3580
"LK Bad Tölz-Wolfratshausen";986;939;0;0;47;3989;4975
"LK Bamberg";1037;1008;14;3;12;4412;5449
"LK Bayreuth";1144;82;0;0;1062;3763;4907
"LK Berchtesgadener Land";690;684;6;0;0;5145;5835
"LK Cham";2942;2871;1;2;68;4148;7090
"LK Coburg";1116;1100;2;1;13;3636;4752
"LK Dachau";1558;1522;2;1;33;6580;8138
"LK Deggendorf";765;179;0;0;586;6120;6885
"LK Dillingen a.d.Donau";810;768;19;0;23;2838;3648
"LK Dingolfing-Landau";1818;1795;8;0;15;3860;5678
"LK Donau-Ries";1496;1322;20;0;154;4284;5780
"LK Ebersberg";935;886;6;1;42;5335;6270
"LK Eichstätt";1244;1019;1;3;221;3736;4980
"LK Erding";1263;1223;4;4;32;5600;6863
"LK Erlangen-Höchstadt";939;890;0;2;47;4341;5280
"LK Forchheim";1067;1059;0;0;8;3620;4687
"LK Freising";1628;1472;2;3;151;6401;8029
"LK Freyung-Grafenau";973;886;21;0;66;3895;4868
"LK Fürstenfeldbruck";1657;1619;6;0;32;7914;9571
"LK Fürth";1012;991;8;0;13;4228;5240
"LK Garmisch-Partenkirchen";749;718;4;0;27;2781;3530
"LK Günzburg";1494;1348;87;1;58;5132;6626
"LK Haßberge";1232;1186;7;0;39;2766;3998
"LK Hof";2075;2039;4;0;32;4223;6298
"LK Kelheim";1500;1464;1;3;32;4363;5863
"LK Kitzingen";622;611;1;3;7;2525;3147
"LK Kronach";804;791;2;1;10;3284;4088
"LK Kulmbach";1385;1322;2;0;61;2668;4053
"LK Landsberg a.Lech";879;664;138;0;77;3162;4041
"LK Landshut";1842;1242;0;1;599;6065;7907
"LK Lichtenfels";1035;1030;1;0;4;2446;3481
"LK Lindau";719;690;13;0;16;2582;3301
"LK Main-Spessart";1187;1170;1;2;14;3463;4650
"LK Miesbach";743;722;1;0;20;3722;4465
"LK Miltenberg";1203;1184;2;0;17;4653;5856
"LK Mühldorf a.Inn";1680;1654;7;0;19;5223;6903
"LK München";2601;2414;3;1;183;12559;15160
"LK Neu-Ulm";1723;1577;71;3;72;5661;7384
"LK Neuburg-Schrobenhausen";972;941;1;2;28;3110;4082
"LK Neumarkt i.d.OPf.";621;553;0;0;68;5763;6384
"LK Neustadt a.d.Aisch-Bad Windsheim";967;926;0;0;41;3366;4333
"LK Neustadt a.d.Waldnaab";1159;71;1;0;1087;4044;5203
"LK Nürnberger Land";1325;1285;4;3;33;5950;7275
"LK Oberallgäu";1755;1614;52;0;89;4013;5768
"LK Ostallgäu";2408;2322;28;1;57;4625;7033
"LK Passau";1854;1755;31;2;66;10993;12847
"LK Pfaffenhofen a.d.Ilm";1414;1302;2;34;76;4162;5576
"LK Regen";1066;1050;1;0;15;4422;5488
"LK Regensburg";2272;2216;0;1;55;5803;8075
"LK Rhön-Grabfeld";913;904;4;3;2;2577;3490
"LK Rosenheim";2260;2148;1;3;108;11424;13684
"LK Roth";1172;1152;3;0;17;4456;5628
"LK Rottal-Inn";1564;1548;2;0;14;5834;7398
"LK Schwandorf";3153;3026;0;0;127;5152;8305
"LK Schweinfurt";1192;1162;25;3;2;3809;5001
"LK Starnberg";791;770;2;2;17;4257;5048
"LK Straubing-Bogen";1341;1302;1;1;37;3965;5306
"LK Tirschenreuth";1503;1481;0;0;22;3804;5307
"LK Traunstein";2542;2483;14;0;45;8329;10871
"LK Unterallgäu";2015;1929;5;2;79;4993;7008
"LK Weilheim-Schongau";826;817;4;0;5;4129;4955
"LK Weißenburg-Gunzenhausen";779;762;1;0;16;3095;3874
"LK Wunsiedel i.Fichtelgebirge";1516;1502;0;0;14;3485;5001
"LK Würzburg";993;982;1;1;9;3338;4331
"SK Amberg";469;262;0;0;207;1252;1721
"SK Ansbach";202;197;0;0;5;1592;1794
"SK Aschaffenburg";696;678;1;0;17;2668;3364
"SK Augsburg";3295;2766;62;7;460;14244;17539
"SK Bamberg";538;533;3;0;2;2490;3028
"SK Bayreuth";866;50;0;0;816;2587;3453
"SK Coburg";535;529;3;0;3;1816;2351
"SK Erlangen";608;589;0;0;19;3297;3905
"SK Fürth";1938;1911;2;1;24;5603;7541
"SK Hof";1419;1355;1;0;63;2505;3924
"SK Ingolstadt";1253;1226;1;10;16;4717;5970
"SK Kaufbeuren";665;657;0;0;8;1670;2335
"SK Kempten";1263;1184;27;0;52;1921;3184
"SK Landshut";899;538;1;0;360;3115;4014
"SK Memmingen";484;437;5;9;33;1689;2173
"SK München";13191;11376;31;15;1769;58794;71985
"SK Nürnberg";5304;5082;9;19;194;28385;33689
"SK Passau";378;365;0;0;13;3001;3379
"SK Regensburg";1967;1927;3;1;36;4881;6848
"SK Rosenheim";726;690;0;0;36;3147;3873
"SK Schwabach";356;352;0;0;4;1759;2115
"SK Schweinfurt";987;954;22;8;3;2019;3006
"SK Straubing";634;622;0;1;11;1724;2358
"SK Weiden i.d.OPf.";613;30;2;0;581;2076;2689
"SK Würzburg";1021;1009;3;0;9;3387;4408
