"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";955;887;25;1867
"'10-19";1967;1950;12;3929
"20-29";4723;4467;31;9221
"30-39";3862;3739;33;7634
"40-49";3729;4438;24;8191
"50-59";4689;5194;17;9900
"60-69";2689;2319;3;5011
"70-79";2154;2044;2;4200
"80-89";1567;2512;1;4080
"90-99";252;823;0;1075
"100+";2;15;0;17
"Unbekannt";6;6;19;31
"Gesamt";26595;28394;167;55156
