"Meldelandkreis";"Insgesamt VOC";"Alpha B.1.1.7";"Beta B.1.351";"Gamma P.1";"Delta B.1.617.2";"PCR-Hinweis auf VOC";"andere/ sonstige";"Gesamt"
"LK Aichach-Friedberg";1256;1042;10;0;67;137;4078;5334
"LK Altötting";1715;1564;2;3;124;22;4509;6224
"LK Amberg-Sulzbach";1225;805;0;1;67;352;3694;4919
"LK Ansbach";1643;1579;1;2;33;28;6886;8529
"LK Aschaffenburg";1589;1425;4;1;128;31;6615;8204
"LK Augsburg";2624;2165;114;23;217;105;9110;11734
"LK Bad Kissingen";913;821;35;0;9;48;2798;3711
"LK Bad Tölz-Wolfratshausen";1135;982;0;0;97;56;4126;5261
"LK Bamberg";1278;1141;17;3;112;5;4511;5789
"LK Bayreuth";1190;1165;0;0;25;0;3805;4995
"LK Berchtesgadener Land";899;751;12;4;132;0;5457;6356
"LK Cham";3085;2966;3;5;57;54;4133;7218
"LK Coburg";1282;1227;3;0;39;13;3658;4940
"LK Dachau";1831;1603;2;1;192;33;6699;8530
"LK Deggendorf";883;274;1;1;10;597;6284;7167
"LK Dillingen a.d.Donau";1206;1011;26;0;161;8;2798;4004
"LK Dingolfing-Landau";2165;1964;13;1;166;21;3896;6061
"LK Donau-Ries";1774;1445;46;1;129;153;4396;6170
"LK Ebersberg";1158;965;6;2;134;51;5387;6545
"LK Eichstätt";1420;1300;1;7;83;29;3862;5282
"LK Erding";1513;1302;6;12;162;31;5693;7206
"LK Erlangen-Höchstadt";1086;951;2;7;78;48;4484;5570
"LK Forchheim";1266;1194;1;3;61;7;3615;4881
"LK Freising";1966;1644;9;8;186;119;6619;8585
"LK Freyung-Grafenau";1044;933;26;0;19;66;3914;4958
"LK Fürstenfeldbruck";1981;1776;11;0;157;37;8069;10050
"LK Fürth";1203;1116;8;0;65;14;4271;5474
"LK Garmisch-Partenkirchen";910;829;4;1;42;34;2801;3711
"LK Günzburg";1957;1702;100;1;94;60;5112;7069
"LK Haßberge";1389;1312;18;0;29;30;2759;4148
"LK Hof";2177;2130;5;0;11;31;4270;6447
"LK Kelheim";1681;1568;1;3;77;32;4369;6050
"LK Kitzingen";808;710;2;3;85;8;2585;3393
"LK Kronach";872;857;2;1;2;10;3400;4272
"LK Kulmbach";1436;1354;2;0;20;60;2677;4113
"LK Landsberg a.Lech";990;726;135;0;50;79;3222;4212
"LK Landshut";2118;1629;0;1;105;383;6053;8171
"LK Lichtenfels";1178;1155;1;0;15;7;2444;3622
"LK Lindau";921;823;13;0;66;19;2603;3524
"LK Main-Spessart";1398;1279;2;1;107;9;3483;4881
"LK Miesbach";871;802;2;0;49;18;3829;4700
"LK Miltenberg";1462;1307;2;0;136;17;4711;6173
"LK Mühldorf a.Inn";1860;1681;6;10;143;20;5294;7154
"LK München";2971;2586;6;3;201;175;12897;15868
"LK Neu-Ulm";2340;2155;70;3;92;20;5538;7878
"LK Neuburg-Schrobenhausen";1130;996;1;2;106;25;3201;4331
"LK Neumarkt i.d.OPf.";698;593;0;0;36;69;5961;6659
"LK Neustadt a.d.Aisch-Bad Windsheim";1107;1015;0;0;50;42;3353;4460
"LK Neustadt a.d.Waldnaab";1249;496;1;0;45;707;4101;5350
"LK Nürnberger Land";1600;1494;5;7;58;36;5953;7553
"LK Oberallgäu";2037;1775;53;2;120;87;4089;6126
"LK Ostallgäu";2626;2403;28;2;134;59;4716;7342
"LK Passau";2059;1951;33;2;46;27;10992;13051
"LK Pfaffenhofen a.d.Ilm";1543;1360;2;35;70;76;4240;5783
"LK Regen";1261;1152;1;0;93;15;4393;5654
"LK Regensburg";2658;2444;0;1;151;62;5868;8526
"LK Rhön-Grabfeld";978;936;5;3;31;3;2608;3586
"LK Rosenheim";2657;2331;1;7;211;107;11649;14306
"LK Roth";1283;1206;3;0;57;17;4482;5765
"LK Rottal-Inn";1764;1656;13;11;70;14;5930;7694
"LK Schwandorf";3411;3194;0;0;145;72;5174;8585
"LK Schweinfurt";1335;1266;29;4;34;2;3923;5258
"LK Starnberg";995;819;2;3;148;23;4306;5301
"LK Straubing-Bogen";1499;1389;1;1;72;36;3975;5474
"LK Tirschenreuth";1616;1564;0;0;39;13;3758;5374
"LK Traunstein";2838;2606;23;3;163;43;8474;11312
"LK Unterallgäu";2498;2344;3;7;128;16;4962;7460
"LK Weilheim-Schongau";1241;1091;5;0;144;1;4119;5360
"LK Weißenburg-Gunzenhausen";903;800;3;0;33;67;3092;3995
"LK Wunsiedel i.Fichtelgebirge";1588;1549;0;0;33;6;3483;5071
"LK Würzburg";1180;1054;7;3;113;3;3399;4579
"SK Amberg";580;317;0;0;83;180;1261;1841
"SK Ansbach";260;239;0;1;13;7;1657;1917
"SK Aschaffenburg";902;759;1;1;123;18;2750;3652
"SK Augsburg";4336;3116;70;12;590;548;14343;18679
"SK Bamberg";730;580;4;0;142;4;2564;3294
"SK Bayreuth";910;890;0;0;20;0;2625;3535
"SK Coburg";612;585;3;0;23;1;1822;2434
"SK Erlangen";742;644;0;1;74;23;3380;4122
"SK Fürth";2187;2037;6;2;114;28;5699;7886
"SK Hof";1481;1401;2;0;17;61;2530;4011
"SK Ingolstadt";1613;1407;1;10;178;17;4820;6433
"SK Kaufbeuren";747;700;0;0;37;10;1706;2453
"SK Kempten";1387;1266;27;0;43;51;1964;3351
"SK Landshut";1076;745;1;0;95;235;3111;4187
"SK Memmingen";589;521;5;9;24;30;1731;2320
"SK München";15533;12728;83;39;1950;733;61163;76696
"SK Nürnberg";6552;5899;15;4;413;221;28913;35465
"SK Passau";428;402;0;0;20;6;2989;3417
"SK Regensburg";2284;2051;3;1;191;38;5039;7323
"SK Rosenheim";861;723;0;10;92;36;3223;4084
"SK Schwabach";409;380;0;0;26;3;1776;2185
"SK Schweinfurt";1141;1071;25;9;33;3;2133;3274
"SK Straubing";692;641;0;1;39;11;1740;2432
"SK Weiden i.d.OPf.";653;309;2;1;34;307;2120;2773
"SK Würzburg";1317;1138;4;0;173;2;3460;4777
