Bundesland;SterbeZeit;Sterbewoche;Sterbejahr;Anzahl verstorbene COVID-19 Fälle
HH;42;42;2020;4
HH;43;43;2020;10
HH;44;44;2020;19
HH;45;45;2020;14
HH;46;46;2020;30
HH;47;47;2020;34
HH;48;48;2020;62
HH;49;49;2020;57
HH;50;50;2020;59
HH;51;51;2020;91
HH;52;52;2020;73
HH;53;53;2020;88
HH;54;1;2021;78
HE;10;10;2020;0
HE;11;11;2020;0
HE;12;12;2020;4
HE;13;13;2020;14
HE;14;14;2020;55
HE;15;15;2020;88
HE;16;16;2020;95
HE;17;17;2020;82
HE;18;18;2020;42
HE;19;19;2020;36
HE;20;20;2020;21
HE;21;21;2020;21
HE;22;22;2020;12
HE;23;23;2020;9
HE;24;24;2020;4
HE;25;25;2020;5
HE;26;26;2020;<4
HE;27;27;2020;<4
HE;28;28;2020;<4
HE;29;29;2020;<4
HE;30;30;2020;<4
HE;31;31;2020;4
HE;32;32;2020;<4
HE;33;33;2020;<4
HE;34;34;2020;<4
HE;35;35;2020;5
HE;36;36;2020;0
HE;37;37;2020;4
HE;38;38;2020;6
HE;39;39;2020;7
HE;40;40;2020;<4
HE;41;41;2020;11
HE;42;42;2020;20
HE;43;43;2020;52
HE;44;44;2020;66
HE;45;45;2020;118
HE;46;46;2020;150
HE;47;47;2020;187
HE;48;48;2020;233
HE;49;49;2020;293
HE;50;50;2020;350
HE;51;51;2020;440
HE;52;52;2020;466
HE;53;53;2020;467
HE;54;1;2021;454
MV;10;10;2020;0
MV;11;11;2020;0
MV;12;12;2020;0
MV;13;13;2020;<4
MV;14;14;2020;6
MV;15;15;2020;<4
MV;16;16;2020;4
MV;17;17;2020;<4
MV;18;18;2020;<4
MV;19;19;2020;<4
MV;20;20;2020;0
MV;21;21;2020;0
MV;22;22;2020;0
MV;23;23;2020;0
MV;24;24;2020;0
MV;25;25;2020;0
MV;26;26;2020;0
MV;27;27;2020;0
MV;28;28;2020;0
MV;29;29;2020;0
MV;30;30;2020;0
MV;31;31;2020;0
MV;32;32;2020;0
MV;33;33;2020;0
MV;34;34;2020;0
MV;35;35;2020;0
MV;36;36;2020;0
MV;37;37;2020;0
MV;38;38;2020;0
MV;39;39;2020;0
MV;40;40;2020;0
MV;41;41;2020;0
MV;42;42;2020;<4
MV;43;43;2020;<4
MV;44;44;2020;<4
MV;45;45;2020;6
MV;46;46;2020;9
MV;47;47;2020;16
MV;48;48;2020;12
MV;49;49;2020;15
MV;50;50;2020;22
MV;51;51;2020;22
MV;52;52;2020;39
MV;53;53;2020;41
MV;54;1;2021;60
NI;10;10;2020;0
NI;11;11;2020;0
NI;12;12;2020;7
NI;13;13;2020;30
NI;14;14;2020;97
NI;15;15;2020;136
NI;16;16;2020;92
NI;17;17;2020;82
NI;18;18;2020;61
NI;19;19;2020;35
NI;20;20;2020;31
NI;21;21;2020;30
NI;22;22;2020;12
NI;23;23;2020;6
NI;24;24;2020;7
NI;25;25;2020;6
NI;26;26;2020;6
NI;27;27;2020;9
NI;28;28;2020;<4
NI;29;29;2020;<4
NI;30;30;2020;<4
NI;31;31;2020;<4
NI;32;32;2020;<4
NI;33;33;2020;<4
NI;34;34;2020;7
NI;35;35;2020;<4
NI;36;36;2020;0
NI;37;37;2020;<4
NI;38;38;2020;7
NI;39;39;2020;5
NI;40;40;2020;12
NI;41;41;2020;11
NI;42;42;2020;18
NI;43;43;2020;31
NI;44;44;2020;51
NI;45;45;2020;88
NI;46;46;2020;94
NI;47;47;2020;136
NI;48;48;2020;162
NI;49;49;2020;139
NI;50;50;2020;187
NI;51;51;2020;211
NI;52;52;2020;268
NI;53;53;2020;257
NI;54;1;2021;255
NW;10;10;2020;0
NW;11;11;2020;8
NW;12;12;2020;48
NW;13;13;2020;100
NW;14;14;2020;267
NW;15;15;2020;322
NW;16;16;2020;301
NW;17;17;2020;218
NW;18;18;2020;144
NW;19;19;2020;99
NW;20;20;2020;62
NW;21;21;2020;42
NW;22;22;2020;22
NW;23;23;2020;30
NW;24;24;2020;16
NW;25;25;2020;9
NW;26;26;2020;23
NW;27;27;2020;16
NW;28;28;2020;7
NW;29;29;2020;11
NW;30;30;2020;13
NW;31;31;2020;9
NW;32;32;2020;17
NW;33;33;2020;19
NW;34;34;2020;17
NW;35;35;2020;16
