Sterbjahr;Sterbewoche;AG 0-9 Jahre;AG 10-19 Jahre;AG 20-29 Jahre;AG 30-39 Jahre;AG 40-49 Jahre;AG 50-59 Jahre;AG 60-69 Jahre;AG 70-79 Jahre;AG 80-89 Jahre;AG 90+ Jahre
2020;10;0;0;0;0;0;<4;<4;0;0;0
2020;11;0;0;0;0;0;0;<4;6;11;0
2020;12;0;0;0;0;<4;8;7;36;85;25
2020;13;0;0;<4;<4;7;20;60;144;293;75
2020;14;0;0;<4;5;9;54;127;320;593;261
2020;15;<4;0;<4;0;14;51;139;391;808;332
2020;16;0;0;0;<4;13;36;146;362;706;330
2020;17;0;<4;<4;5;4;37;111;236;533;241
2020;18;0;0;<4;<4;4;40;88;173;331;145
2020;19;0;0;<4;<4;5;13;48;121;221;105
2020;20;0;0;0;<4;4;22;54;81;133;60
2020;21;0;0;<4;0;6;10;24;62;118;52
2020;22;0;0;0;<4;<4;8;20;39;62;19
2020;23;0;0;0;<4;<4;7;13;16;54;21
2020;24;0;0;0;<4;<4;<4;12;20;25;10
2020;25;0;0;0;0;<4;4;6;13;16;9
2020;26;0;0;0;0;<4;6;11;9;17;7
2020;27;0;0;0;0;<4;<4;9;14;12;6
2020;28;0;0;0;0;<4;5;4;8;4;6
2020;29;0;0;0;0;0;<4;4;6;12;<4
2020;30;0;0;0;0;<4;<4;4;6;9;6
2020;31;0;0;0;0;0;0;6;8;9;6
2020;32;0;0;<4;0;0;<4;<4;8;12;4
2020;33;0;0;0;0;0;<4;4;6;14;6
2020;34;0;0;0;0;<4;0;5;8;15;9
2020;35;0;0;0;<4;0;7;7;10;10;<4
2020;36;0;0;0;<4;0;<4;<4;8;<4;<4
2020;37;0;0;0;0;0;<4;<4;9;14;<4
2020;38;0;0;0;<4;0;6;5;10;20;12
2020;39;0;0;0;0;<4;<4;4;15;25;16
2020;40;0;0;0;0;0;6;<4;17;38;15
2020;41;0;0;<4;0;<4;<4;16;34;45;20
2020;42;0;0;<4;<4;<4;7;15;41;121;45
2020;43;0;0;<4;<4;5;4;37;73;171;103
2020;44;0;<4;0;<4;6;23;55;143;347;194
2020;45;0;0;<4;<4;5;29;87;214;572;280
2020;46;0;0;0;6;16;46;98;305;755;361
2020;47;0;0;4;<4;17;46;153;391;928;477
2020;48;0;0;4;<4;16;66;193;526;1245;685
2020;49;<4;0;<4;5;17;55;226;604;1488;770
2020;50;<4;0;<4;0;16;92;256;701;1892;936
2020;51;0;0;<4;13;26;99;321;802;2295;1131
2020;52;0;0;<4;<4;14;109;343;924;2436;1208
