Sterbejahr;Sterbewoche;Männer, AG 0-19 Jahre;Männer, AG 20-39 Jahre;Männer, AG 40-59 Jahre;Männer, AG 60-79 Jahre;Männer, AG 80+ Jahre;Frauen, AG 0-19 Jahre;Frauen, AG 20-39 Jahre;Frauen, AG 40-59 Jahre;Frauen, AG 60-79 Jahre;Frauen, AG 80+ Jahre
2020;10;0;0;<4;<4;0;0;0;0;0;0
2020;11;0;0;0;5;6;0;0;0;<4;5
2020;12;0;0;7;30;62;0;0;<4;13;49
2020;13;0;<4;20;152;217;0;<4;6;52;150
2020;14;0;5;50;317;459;0;<4;13;131;393
2020;15;0;<4;48;357;496;<4;0;17;174;644
2020;16;0;<4;37;355;476;0;<4;13;153;559
2020;17;<4;5;31;247;330;0;<4;10;102;442
2020;18;0;<4;26;176;221;0;<4;18;86;261
2020;19;0;4;14;118;145;0;0;4;52;181
2020;20;0;<4;21;92;90;0;0;5;43;104
2020;21;0;0;10;57;74;0;<4;6;30;97
2020;22;0;<4;7;40;33;0;0;<4;19;48
2020;23;0;<4;<4;18;35;0;0;5;12;41
2020;24;0;<4;<4;22;22;0;0;<4;12;14
2020;25;0;0;<4;16;12;0;0;<4;<4;15
2020;26;0;0;6;13;4;0;0;<4;9;20
2020;27;0;0;<4;12;5;0;0;<4;11;14
2020;28;0;0;6;7;7;0;0;0;5;4
2020;29;0;0;<4;9;5;0;0;0;<4;10
2020;30;0;0;5;9;8;0;0;<4;<4;7
2020;31;0;0;<4;13;8;0;0;0;<4;7
2020;32;0;<4;<4;7;11;0;0;<4;<4;5
2020;33;0;0;<4;8;11;0;0;0;<4;9
2020;34;0;0;<4;9;9;0;0;<4;4;15
2020;35;0;<4;5;12;4;0;0;<4;4;8
2020;36;0;0;<4;10;<4;0;<4;<4;<4;<4
2020;37;0;0;<4;6;10;0;0;<4;6;8
2020;38;0;0;4;8;17;0;<4;<4;7;15
2020;39;0;0;4;11;21;0;0;<4;8;20
2020;40;0;0;5;16;28;0;0;<4;4;27
2020;41;0;<4;<4;37;34;0;0;<4;13;32
2020;42;0;<4;6;38;89;0;0;4;20;80
2020;43;0;<4;8;71;132;0;<4;<4;42;149
2020;44;<4;<4;21;147;267;0;0;11;56;286
2020;45;0;<4;26;201;419;0;<4;8;109;471
2020;46;0;<4;39;264;570;0;<4;23;149;587
2020;47;0;<4;48;375;683;0;<4;17;185;781
2020;48;0;<4;56;472;873;0;<4;29;286;1156
2020;49;<4;<4;56;550;1065;<4;5;23;327;1360
2020;50;0;<4;81;686;1378;<4;<4;31;364;1742
2020;51;0;11;98;807;1677;0;<4;38;436;2127
2020;52;0;4;99;918;1824;0;<4;45;523;2346
2020;53;0;8;115;947;1778;<4;<4;45;494;2332
2021;1;<4;<4;93;931;1715;0;<4;51;441;2176
2021;2;0;5;94;854;1522;0;<4;35;451;1960
2021;3;0;4;89;772;1456;0;<4;41;434;1851
2021;4;0;<4;69;661;1221;0;<4;36;379;1602
2021;5;0;<4;75;572;990;0;4;30;321;1202
2021;6;<4;<4;63;489;802;0;<4;26;250;931
2021;7;<4;<4;59;387;552;0;<4;23;207;701
2021;8;0;4;44;318;481;0;4;26;173;524
2021;9;0;4;35;288;387;<4;6;14;153;384
2021;10;<4;7;33;245;323;<4;6;16;134;328
2021;11;0;6;40;221;252;0;<4;23;116;295
