Bundesland;Sterbewoche;Sterbejahr;Anzahl verstorbene COVID-19 Fälle
BW;1;2021;574
BW;2;2021;470
BW;3;2021;435
BW;4;2021;341
BW;5;2021;259
BW;6;2021;231
BW;7;2021;142
BW;8;2021;113
BW;9;2021;130
BW;10;2020;<4
BW;10;2021;107
BW;11;2020;5
BW;11;2021;91
BW;12;2020;44
BW;12;2021;113
BW;13;2020;175
BW;13;2021;134
BW;14;2020;316
BW;14;2021;175
BW;15;2020;352
BW;15;2021;147
BW;16;2020;315
BW;16;2021;182
BW;17;2020;233
BW;17;2021;177
BW;18;2020;144
BW;18;2021;151
BW;19;2020;89
BW;19;2021;145
BW;20;2020;66
BW;20;2021;104
BW;21;2020;45
BW;21;2021;87
BW;22;2020;31
BW;22;2021;48
BW;23;2020;18
BW;23;2021;41
BW;24;2020;12
BW;24;2021;35
BW;25;2020;5
BW;25;2021;16
BW;26;2020;6
BW;26;2021;10
BW;27;2020;4
BW;27;2021;<4
BW;28;2020;<4
BW;28;2021;5
BW;29;2020;<4
BW;29;2021;8
BW;30;2020;8
BW;30;2021;<4
BW;31;2020;4
BW;31;2021;6
BW;32;2020;<4
BW;33;2020;<4
BW;34;2020;4
BW;35;2020;<4
BW;36;2020;<4
BW;37;2020;<4
BW;38;2020;7
BW;39;2020;9
BW;40;2020;12
BW;41;2020;15
BW;42;2020;47
BW;43;2020;54
BW;44;2020;109
BW;45;2020;156
BW;46;2020;199
BW;47;2020;264
BW;48;2020;380
BW;49;2020;424
BW;50;2020;546
BW;51;2020;606
BW;52;2020;626
BW;53;2020;582
BY;1;2021;859
BY;2;2021;829
BY;3;2021;760
BY;4;2021;556
BY;5;2021;457
BY;6;2021;340
BY;7;2021;250
BY;8;2021;217
BY;9;2021;179
BY;10;2020;0
BY;10;2021;156
BY;11;2020;5
BY;11;2021;167
BY;12;2020;40
BY;12;2021;136
BY;13;2020;183
BY;13;2021;184
BY;14;2020;436
BY;14;2021;212
BY;15;2020;524
BY;15;2021;240
BY;16;2020;481
BY;16;2021;217
BY;17;2020;317
BY;17;2021;216
BY;18;2020;231
BY;18;2021;213
BY;19;2020;137
BY;19;2021;155
BY;20;2020;86
BY;20;2021;137
BY;21;2020;77
BY;21;2021;92
BY;22;2020;37
BY;22;2021;61
BY;23;2020;27
BY;23;2021;40
BY;24;2020;14
BY;24;2021;35
BY;25;2020;14
BY;25;2021;19
BY;26;2020;7
BY;26;2021;12
BY;27;2020;6
BY;27;2021;11
BY;28;2020;10
BY;28;2021;8
BY;29;2020;4
BY;29;2021;11
BY;30;2020;<4
BY;30;2021;6
BY;31;2020;<4
BY;31;2021;9
BY;32;2020;<4
BY;33;2020;<4
BY;34;2020;<4
BY;35;2020;6
BY;36;2020;<4
BY;37;2020;8
BY;38;2020;10
BY;39;2020;9
BY;40;2020;16
BY;41;2020;16
BY;42;2020;37
BY;43;2020;57
BY;44;2020;84
BY;45;2020;185
BY;46;2020;288
BY;47;2020;355
BY;48;2020;501
BY;49;2020;674
BY;50;2020;775
BY;51;2020;910
BY;52;2020;953
BY;53;2020;906
BE;1;2021;259
BE;2;2021;224
BE;3;2021;216
BE;4;2021;166
BE;5;2021;113
BE;6;2021;96
BE;7;2021;85
BE;8;2021;59
BE;9;2021;58
BE;10;2020;0
BE;10;2021;41
BE;11;2020;0
BE;11;2021;47
BE;12;2020;<4
BE;12;2021;34
BE;13;2020;18
BE;13;2021;33
BE;14;2020;22
BE;14;2021;37
BE;15;2020;53
BE;15;2021;35
BE;16;2020;29
BE;16;2021;39
BE;17;2020;25
BE;17;2021;32
BE;18;2020;16
BE;18;2021;18
BE;19;2020;20
BE;19;2021;15
BE;20;2020;9
BE;20;2021;15
BE;21;2020;5
BE;21;2021;19
BE;22;2020;8
BE;22;2021;11
BE;23;2020;<4
BE;23;2021;9
BE;24;2020;<4
BE;24;2021;4
BE;25;2020;<4
BE;25;2021;6
BE;26;2020;<4
BE;26;2021;<4
BE;27;2020;<4
BE;27;2021;0
BE;28;2020;<4
BE;28;2021;<4
BE;29;2020;<4
BE;29;2021;<4
BE;30;2020;<4
BE;30;2021;<4
BE;31;2020;<4
BE;31;2021;0
BE;32;2020;<4
BE;33;2020;0
BE;34;2020;<4
BE;35;2020;<4
BE;36;2020;0
BE;37;2020;<4
BE;38;2020;<4
BE;39;2020;0
BE;40;2020;<4
BE;41;2020;8
BE;42;2020;7
BE;43;2020;14
BE;44;2020;30
BE;45;2020;94
BE;46;2020;98
BE;47;2020;102
BE;48;2020;134
BE;49;2020;176
BE;50;2020;214
BE;51;2020;218
BE;52;2020;252
BE;53;2020;256
BB;1;2021;314
BB;2;2021;298
BB;3;2021;271
BB;4;2021;227
BB;5;2021;142
BB;6;2021;136
BB;7;2021;87
BB;8;2021;79
BB;9;2021;60
BB;10;2020;0
BB;10;2021;47
BB;11;2020;0
BB;11;2021;58
BB;12;2020;<4
BB;12;2021;41
BB;13;2020;6
BB;13;2021;56
BB;14;2020;24
BB;14;2021;74
BB;15;2020;31
BB;15;2021;57
BB;16;2020;41
BB;16;2021;57
BB;17;2020;31
BB;17;2021;63
BB;18;2020;12
BB;18;2021;38
BB;19;2020;7
BB;19;2021;29
BB;20;2020;4
BB;20;2021;27
BB;21;2020;5
BB;21;2021;14
BB;22;2020;0
BB;22;2021;8
BB;23;2020;<4
BB;23;2021;5
BB;24;2020;<4
BB;24;2021;<4
BB;25;2020;<4
BB;25;2021;<4
BB;26;2020;0
BB;26;2021;<4
BB;27;2020;<4
BB;27;2021;<4
BB;28;2020;0
BB;28;2021;<4
BB;29;2020;0
BB;29;2021;<4
BB;30;2020;0
BB;30;2021;<4
BB;31;2020;0
BB;31;2021;0
BB;32;2020;<4
BB;33;2020;0
BB;34;2020;<4
BB;35;2020;0
BB;36;2020;0
BB;37;2020;0
BB;38;2020;0
BB;39;2020;0
BB;40;2020;<4
BB;41;2020;<4
BB;42;2020;7
BB;43;2020;12
BB;44;2020;22
BB;45;2020;29
BB;46;2020;36
BB;47;2020;80
BB;48;2020;95
BB;49;2020;120
BB;50;2020;165
BB;51;2020;253
BB;52;2020;274
BB;53;2020;316
HB;1;2021;16
HB;2;2021;8
HB;3;2021;17
HB;4;2021;19
HB;5;2021;26
HB;6;2021;17
HB;7;2021;14
HB;8;2021;19
HB;9;2021;17
HB;10;2020;0
HB;10;2021;15
HB;11;2020;0
HB;11;2021;9
HB;12;2020;0
HB;12;2021;17
HB;13;2020;4
HB;13;2021;7
HB;14;2020;4
HB;14;2021;14
HB;15;2020;12
HB;15;2021;14
HB;16;2020;5
HB;16;2021;10
HB;17;2020;<4
HB;17;2021;9
HB;18;2020;5
HB;18;2021;7
HB;19;2020;<4
HB;19;2021;<4
HB;20;2020;5
HB;20;2021;4
HB;21;2020;5
HB;21;2021;<4
HB;22;2020;<4
HB;22;2021;<4
HB;23;2020;<4
HB;23;2021;<4
HB;24;2020;5
HB;24;2021;<4
HB;25;2020;0
HB;25;2021;<4
HB;26;2020;<4
HB;26;2021;<4
HB;27;2020;<4
HB;27;2021;0
HB;28;2020;0
HB;28;2021;0
HB;29;2020;0
HB;29;2021;<4
HB;30;2020;0
HB;30;2021;0
HB;31;2020;<4
HB;31;2021;0
HB;32;2020;0
HB;33;2020;0
HB;34;2020;<4
HB;35;2020;<4
HB;36;2020;<4
HB;37;2020;0
HB;38;2020;0
HB;39;2020;0
HB;40;2020;0
HB;41;2020;<4
HB;42;2020;<4
HB;43;2020;<4
HB;44;2020;11
HB;45;2020;14
HB;46;2020;7
HB;47;2020;17
HB;48;2020;16
HB;49;2020;14
HB;50;2020;19
HB;51;2020;16
HB;52;2020;15
HB;53;2020;24
HH;1;2021;91
HH;2;2021;78
HH;3;2021;85
HH;4;2021;58
HH;5;2021;52
HH;6;2021;33
HH;7;2021;36
HH;8;2021;40
HH;9;2021;28
HH;10;2020;0
HH;10;2021;21
HH;11;2020;0
HH;11;2021;26
HH;12;2020;<4
HH;12;2021;28
HH;13;2020;15
HH;13;2021;26
HH;14;2020;25
HH;14;2021;14
HH;15;2020;54
HH;15;2021;19
HH;16;2020;53
HH;16;2021;27
HH;17;2020;43
HH;17;2021;20
HH;18;2020;28
HH;18;2021;24
HH;19;2020;19
HH;19;2021;8
HH;20;2020;9
HH;20;2021;4
HH;21;2020;8
HH;21;2021;5
HH;22;2020;<4
HH;22;2021;4
HH;23;2020;<4
HH;23;2021;<4
HH;24;2020;<4
HH;24;2021;5
HH;25;2020;0
HH;25;2021;<4
HH;26;2020;<4
HH;26;2021;<4
HH;27;2020;0
HH;27;2021;<4
HH;28;2020;0
HH;28;2021;<4
HH;29;2020;0
HH;29;2021;<4
HH;30;2020;0
HH;30;2021;<4
HH;31;2020;<4
HH;31;2021;<4
HH;32;2020;0
HH;33;2020;0
HH;34;2020;<4
HH;35;2020;<4
HH;36;2020;<4
HH;37;2020;<4
HH;38;2020;0
HH;39;2020;<4
HH;40;2020;5
HH;41;2020;4
HH;42;2020;5
HH;43;2020;11
HH;44;2020;21
HH;45;2020;19
HH;46;2020;32
HH;47;2020;36
HH;48;2020;71
HH;49;2020;58
HH;50;2020;66
HH;51;2020;92
HH;52;2020;82
HH;53;2020;101
HE;1;2021;490
HE;2;2021;423
HE;3;2021;357
HE;4;2021;345
HE;5;2021;281
HE;6;2021;226
HE;7;2021;153
HE;8;2021;120
HE;9;2021;94
HE;10;2020;0
HE;10;2021;104
HE;11;2020;0
HE;11;2021;85
HE;12;2020;4
HE;12;2021;107
HE;13;2020;14
HE;13;2021;113
HE;14;2020;55
HE;14;2021;115
HE;15;2020;90
HE;15;2021;116
HE;16;2020;94
HE;16;2021;120
HE;17;2020;81
HE;17;2021;128
HE;18;2020;42
HE;18;2021;120
HE;19;2020;37
HE;19;2021;86
HE;20;2020;21
HE;20;2021;70
HE;21;2020;20
HE;21;2021;66
HE;22;2020;13
HE;22;2021;37
HE;23;2020;10
HE;23;2021;21
HE;24;2020;<4
HE;24;2021;16
HE;25;2020;6
HE;25;2021;8
HE;26;2020;<4
HE;26;2021;7
HE;27;2020;<4
HE;27;2021;7
HE;28;2020;<4
HE;28;2021;7
HE;29;2020;<4
HE;29;2021;<4
HE;30;2020;<4
HE;30;2021;<4
HE;31;2020;4
HE;31;2021;5
HE;32;2020;<4
HE;33;2020;<4
HE;34;2020;<4
HE;35;2020;6
HE;36;2020;0
HE;37;2020;4
HE;38;2020;5
HE;39;2020;7
HE;40;2020;<4
HE;41;2020;11
HE;42;2020;20
HE;43;2020;52
HE;44;2020;67
HE;45;2020;122
HE;46;2020;158
HE;47;2020;193
HE;48;2020;237
HE;49;2020;318
HE;50;2020;365
HE;51;2020;447
HE;52;2020;507
HE;53;2020;503
MV;1;2021;66
MV;2;2021;71
MV;3;2021;97
MV;4;2021;102
MV;5;2021;92
MV;6;2021;59
MV;7;2021;54
MV;8;2021;34
MV;9;2021;38
MV;10;2020;0
MV;10;2021;27
MV;11;2020;0
MV;11;2021;31
MV;12;2020;0
MV;12;2021;30
MV;13;2020;<4
MV;13;2021;38
MV;14;2020;6
MV;14;2021;36
MV;15;2020;<4
MV;15;2021;24
MV;16;2020;4
MV;16;2021;35
MV;17;2020;<4
MV;17;2021;31
MV;18;2020;<4
MV;18;2021;39
MV;19;2020;<4
MV;19;2021;27
MV;20;2020;0
MV;20;2021;13
MV;21;2020;0
MV;21;2021;7
MV;22;2020;0
MV;22;2021;5
MV;23;2020;0
MV;23;2021;4
MV;24;2020;0
MV;24;2021;<4
MV;25;2020;0
MV;25;2021;<4
MV;26;2020;0
MV;26;2021;<4
MV;27;2020;0
MV;27;2021;0
MV;28;2020;0
MV;28;2021;0
MV;29;2020;0
MV;29;2021;<4
MV;30;2020;0
MV;30;2021;0
MV;31;2020;0
MV;31;2021;<4
MV;32;2020;0
MV;33;2020;0
MV;34;2020;0
MV;35;2020;0
MV;36;2020;0
MV;37;2020;0
MV;38;2020;0
MV;39;2020;0
MV;40;2020;0
MV;41;2020;0
MV;42;2020;<4
MV;43;2020;<4
MV;44;2020;<4
MV;45;2020;7
MV;46;2020;9
MV;47;2020;16
MV;48;2020;12
MV;49;2020;15
MV;50;2020;23
MV;51;2020;26
MV;52;2020;41
MV;53;2020;44
NI;1;2021;269
NI;2;2021;307
NI;3;2021;333
NI;4;2021;297
NI;5;2021;312
NI;6;2021;250
NI;7;2021;193
NI;8;2021;197
NI;9;2021;125
NI;10;2020;0
NI;10;2021;108
NI;11;2020;0
NI;11;2021;93
NI;12;2020;7
NI;12;2021;87
NI;13;2020;30
NI;13;2021;105
NI;14;2020;97
NI;14;2021;101
NI;15;2020;135
NI;15;2021;88
NI;16;2020;92
NI;16;2021;100
NI;17;2020;83
NI;17;2021;99
NI;18;2020;62
NI;18;2021;84
NI;19;2020;35
NI;19;2021;69
NI;20;2020;31
NI;20;2021;54
NI;21;2020;31
NI;21;2021;46
NI;22;2020;12
NI;22;2021;32
NI;23;2020;6
NI;23;2021;17
NI;24;2020;7
NI;24;2021;20
NI;25;2020;7
NI;25;2021;7
NI;26;2020;6
NI;26;2021;6
NI;27;2020;8
NI;27;2021;<4
NI;28;2020;<4
NI;28;2021;4
NI;29;2020;<4
NI;29;2021;<4
NI;30;2020;<4
NI;30;2021;<4
NI;31;2020;<4
NI;31;2021;5
NI;32;2020;<4
NI;33;2020;<4
NI;34;2020;7
NI;35;2020;<4
NI;36;2020;0
NI;37;2020;<4
NI;38;2020;7
NI;39;2020;5
NI;40;2020;13
NI;41;2020;11
NI;42;2020;18
NI;43;2020;31
NI;44;2020;51
NI;45;2020;88
NI;46;2020;96
NI;47;2020;139
NI;48;2020;166
NI;49;2020;141
NI;50;2020;199
NI;51;2020;217
NI;52;2020;272
NI;53;2020;271
NW;1;2021;906
NW;2;2021;901
NW;3;2021;789
NW;4;2021;730
NW;5;2021;587
NW;6;2021;517
NW;7;2021;424
NW;8;2021;339
NW;9;2021;259
NW;10;2020;0
NW;10;2021;245
NW;11;2020;8
NW;11;2021;202
NW;12;2020;48
NW;12;2021;236
NW;13;2020;99
NW;13;2021;234
NW;14;2020;267
NW;14;2021;294
NW;15;2020;323
NW;15;2021;321
NW;16;2020;300
NW;16;2021;351
NW;17;2020;218
NW;17;2021;369
NW;18;2020;145
NW;18;2021;340
NW;19;2020;97
NW;19;2021;261
NW;20;2020;60
NW;20;2021;207
NW;21;2020;42
NW;21;2021;147
NW;22;2020;21
NW;22;2021;100
NW;23;2020;29
NW;23;2021;71
NW;24;2020;15
NW;24;2021;42
NW;25;2020;9
NW;25;2021;33
NW;26;2020;23
NW;26;2021;25
NW;27;2020;15
NW;27;2021;17
NW;28;2020;7
NW;28;2021;16
NW;29;2020;10
NW;29;2021;15
NW;30;2020;13
NW;30;2021;9
NW;31;2020;9
NW;31;2021;16
NW;32;2020;17
NW;33;2020;19
NW;34;2020;17
NW;35;2020;16
NW;36;2020;11
NW;37;2020;9
NW;38;2020;17
NW;39;2020;20
NW;40;2020;18
NW;41;2020;37
NW;42;2020;56
NW;43;2020;101
NW;44;2020;204
NW;45;2020;271
NW;46;2020;355
NW;47;2020;421
NW;48;2020;567
NW;49;2020;599
NW;50;2020;726
NW;51;2020;921
NW;52;2020;1052
NW;53;2020;1083
RP;1;2021;251
RP;2;2021;186
RP;3;2021;244
RP;4;2021;205
RP;5;2021;170
RP;6;2021;100
RP;7;2021;70
RP;8;2021;56
RP;9;2021;32
RP;10;2020;0
RP;10;2021;31
RP;11;2020;0
RP;11;2021;39
RP;12;2020;5
RP;12;2021;36
RP;13;2020;18
RP;13;2021;52
RP;14;2020;24
RP;14;2021;44
RP;15;2020;38
RP;15;2021;63
RP;16;2020;41
RP;16;2021;54
RP;17;2020;40
RP;17;2021;50
RP;18;2020;22
RP;18;2021;45
RP;19;2020;19
RP;19;2021;40
RP;20;2020;18
RP;20;2021;36
RP;21;2020;7
RP;21;2021;26
RP;22;2020;0
RP;22;2021;23
RP;23;2020;<4
RP;23;2021;7
RP;24;2020;<4
RP;24;2021;9
RP;25;2020;0
RP;25;2021;<4
RP;26;2020;<4
RP;26;2021;<4
RP;27;2020;0
RP;27;2021;<4
RP;28;2020;<4
RP;28;2021;<4
RP;29;2020;<4
RP;29;2021;<4
RP;30;2020;0
RP;30;2021;<4
RP;31;2020;<4
RP;31;2021;<4
RP;32;2020;<4
RP;33;2020;<4
RP;34;2020;<4
RP;35;2020;<4
RP;36;2020;<4
RP;37;2020;<4
RP;38;2020;<4
RP;39;2020;6
RP;40;2020;<4
RP;41;2020;6
RP;42;2020;7
RP;43;2020;8
RP;44;2020;34
RP;45;2020;45
RP;46;2020;65
RP;47;2020;96
RP;48;2020;149
RP;49;2020;186
RP;50;2020;238
RP;51;2020;236
RP;52;2020;266
RP;53;2020;240
SL;1;2021;68
SL;2;2021;58
SL;3;2021;51
SL;4;2021;40
SL;5;2021;43
SL;6;2021;35
SL;7;2021;33
SL;8;2021;19
SL;9;2021;18
SL;10;2020;0
SL;10;2021;9
SL;11;2020;0
SL;11;2021;5
SL;12;2020;<4
SL;12;2021;7
SL;13;2020;7
SL;13;2021;5
SL;14;2020;22
SL;14;2021;6
SL;15;2020;37
SL;15;2021;7
SL;16;2020;39
SL;16;2021;14
SL;17;2020;19
SL;17;2021;10
SL;18;2020;14
SL;18;2021;8
SL;19;2020;9
SL;19;2021;10
SL;20;2020;8
SL;20;2021;12
SL;21;2020;5
SL;21;2021;5
SL;22;2020;<4
SL;22;2021;5
SL;23;2020;<4
SL;23;2021;4
SL;24;2020;<4
SL;24;2021;0
SL;25;2020;<4
SL;25;2021;0
SL;26;2020;<4
SL;26;2021;<4
SL;27;2020;<4
SL;27;2021;<4
SL;28;2020;0
SL;28;2021;0
SL;29;2020;0
SL;29;2021;0
SL;30;2020;0
SL;30;2021;0
SL;31;2020;0
SL;31;2021;<4
SL;32;2020;0
SL;33;2020;0
SL;34;2020;0
SL;35;2020;<4
SL;36;2020;0
SL;37;2020;0
SL;38;2020;<4
SL;39;2020;<4
SL;40;2020;0
SL;41;2020;0
SL;42;2020;<4
SL;43;2020;5
SL;44;2020;16
SL;45;2020;19
SL;46;2020;22
SL;47;2020;28
SL;48;2020;16
SL;49;2020;36
SL;50;2020;43
SL;51;2020;52
SL;52;2020;53
SL;53;2020;61
SN;1;2021;700
SN;2;2021;532
SN;3;2021;483
SN;4;2021;422
SN;5;2021;303
SN;6;2021;262
SN;7;2021;162
SN;8;2021;148
SN;9;2021;114
SN;10;2020;0
SN;10;2021;126
SN;11;2020;<4
SN;11;2021;96
SN;12;2020;<4
SN;12;2021;136
SN;13;2020;12
SN;13;2021;146
SN;14;2020;38
SN;14;2021;171
SN;15;2020;36
SN;15;2021;154
SN;16;2020;43
SN;16;2021;157
SN;17;2020;28
SN;17;2021;164
SN;18;2020;24
SN;18;2021;153
SN;19;2020;13
SN;19;2021;141
SN;20;2020;8
SN;20;2021;115
SN;21;2020;9
SN;21;2021;77
SN;22;2020;4
SN;22;2021;62
SN;23;2020;5
SN;23;2021;27
SN;24;2020;<4
SN;24;2021;30
SN;25;2020;0
SN;25;2021;14
SN;26;2020;<4
SN;26;2021;9
SN;27;2020;<4
SN;27;2021;<4
SN;28;2020;0
SN;28;2021;<4
SN;29;2020;0
SN;29;2021;5
SN;30;2020;0
SN;30;2021;4
SN;31;2020;0
SN;31;2021;<4
SN;32;2020;0
SN;33;2020;0
SN;34;2020;0
SN;35;2020;0
SN;36;2020;0
SN;37;2020;<4
SN;38;2020;<4
SN;39;2020;6
SN;40;2020;9
SN;41;2020;9
SN;42;2020;26
SN;43;2020;51
SN;44;2020;102
SN;45;2020;146
SN;46;2020;223
SN;47;2020;277
SN;48;2020;431
SN;49;2020;465
SN;50;2020;646
SN;51;2020;868
SN;52;2020;898
SN;53;2020;788
ST;1;2021;231
ST;2;2021;274
ST;3;2021;269
ST;4;2021;222
ST;5;2021;186
ST;6;2021;152
ST;7;2021;123
ST;8;2021;90
ST;9;2021;73
ST;10;2020;0
ST;10;2021;76
ST;11;2020;0
ST;11;2021;49
ST;12;2020;<4
ST;12;2021;68
ST;13;2020;7
ST;13;2021;78
ST;14;2020;5
ST;14;2021;80
ST;15;2020;12
ST;15;2021;87
ST;16;2020;9
ST;16;2021;84
ST;17;2020;6
ST;17;2021;83
ST;18;2020;9
ST;18;2021;61
ST;19;2020;6
ST;19;2021;51
ST;20;2020;<4
ST;20;2021;40
ST;21;2020;<4
ST;21;2021;24
ST;22;2020;<4
ST;22;2021;23
ST;23;2020;<4
ST;23;2021;8
ST;24;2020;<4
ST;24;2021;10
ST;25;2020;<4
ST;25;2021;<4
ST;26;2020;<4
ST;26;2021;0
ST;27;2020;0
ST;27;2021;<4
ST;28;2020;0
ST;28;2021;<4
ST;29;2020;0
ST;29;2021;0
ST;30;2020;<4
ST;30;2021;<4
ST;31;2020;0
ST;31;2021;0
ST;32;2020;0
ST;33;2020;0
ST;34;2020;<4
ST;35;2020;0
ST;36;2020;<4
ST;37;2020;0
ST;38;2020;<4
ST;39;2020;<4
ST;40;2020;0
ST;41;2020;<4
ST;42;2020;<4
ST;43;2020;5
ST;44;2020;14
ST;45;2020;11
ST;46;2020;20
ST;47;2020;30
ST;48;2020;53
ST;49;2020;63
ST;50;2020;117
ST;51;2020;145
ST;52;2020;224
