Bundesland;Sterbejahr;Sterbewoche;Anzahl verstorbene COVID-19 Fälle
BE;2021;11;47
BE;2021;12;34
BE;2021;13;34
BE;2021;14;37
BE;2021;15;35
BE;2021;16;39
BE;2021;17;33
BE;2021;18;19
BE;2021;19;15
BE;2021;20;16
BE;2021;21;19
BE;2021;22;11
BE;2021;23;10
BE;2021;24;4
BE;2021;25;7
BE;2021;26;<4
BE;2021;27;0
BE;2021;28;<4
BE;2021;29;<4
BE;2021;30;<4
BE;2021;31;<4
BE;2021;32;<4
BE;2021;33;7
BE;2021;34;4
BE;2021;35;6
BE;2021;36;7
BE;2021;37;14
BE;2021;38;8
BE;2021;39;15
BE;2021;40;17
BE;2021;41;12
BE;2021;42;20
BE;2021;43;26
BE;2021;44;36
BE;2021;45;25
BE;2021;46;33
BE;2021;47;39
BE;2021;48;50
BE;2021;49;37
BE;2021;50;47
BE;2021;51;37
BE;2021;52;34
BE;2022;1;22
BE;2022;2;26
BE;2022;3;17
BE;2022;4;22
BE;2022;5;35
BE;2022;6;36
BE;2022;7;25
BE;2022;8;33
BE;2022;9;28
BE;2022;10;21
BE;2022;11;17
BE;2022;12;15
BE;2022;13;15
BB;2020;10;0
BB;2020;11;0
BB;2020;12;<4
BB;2020;13;6
BB;2020;14;24
BB;2020;15;31
BB;2020;16;41
BB;2020;17;31
BB;2020;18;12
BB;2020;19;7
BB;2020;20;4
BB;2020;21;5
BB;2020;22;0
BB;2020;23;<4
BB;2020;24;<4
BB;2020;25;<4
BB;2020;26;0
BB;2020;27;<4
BB;2020;28;0
BB;2020;29;0
BB;2020;30;0
BB;2020;31;0
BB;2020;32;<4
BB;2020;33;0
BB;2020;34;<4
BB;2020;35;0
BB;2020;36;0
BB;2020;37;0
BB;2020;38;0
BB;2020;39;0
BB;2020;40;<4
BB;2020;41;<4
BB;2020;42;7
BB;2020;43;12
BB;2020;44;22
BB;2020;45;29
BB;2020;46;36
BB;2020;47;80
BB;2020;48;95
BB;2020;49;120
BB;2020;50;165
BB;2020;51;251
BB;2020;52;272
BB;2020;53;313
BB;2021;1;314
BB;2021;2;295
BB;2021;3;267
BB;2021;4;226
BB;2021;5;144
BB;2021;6;131
BB;2021;7;87
BB;2021;8;78
BB;2021;9;58
BB;2021;10;45
BB;2021;11;53
BB;2021;12;39
BB;2021;13;58
BB;2021;14;72
BB;2021;15;55
BB;2021;16;59
BB;2021;17;61
BB;2021;18;39
BB;2021;19;31
BB;2021;20;27
BB;2021;21;14
BB;2021;22;9
BB;2021;23;10
BB;2021;24;4
BB;2021;25;<4
BB;2021;26;<4
BB;2021;27;<4
BB;2021;28;<4
BB;2021;29;<4
BB;2021;30;<4
BB;2021;31;0
BB;2021;32;<4
BB;2021;33;0
BB;2021;34;<4
BB;2021;35;4
BB;2021;36;<4
BB;2021;37;9
BB;2021;38;9
BB;2021;39;8
BB;2021;40;9
BB;2021;41;7
BB;2021;42;19
BB;2021;43;32
BB;2021;44;30
BB;2021;45;65
BB;2021;46;69
BB;2021;47;105
BB;2021;48;128
BB;2021;49;127
BB;2021;50;142
BB;2021;51;128
BB;2021;52;93
BB;2022;1;74
BB;2022;2;52
BB;2022;3;47
BB;2022;4;45
BB;2022;5;42
BB;2022;6;52
BB;2022;7;37
BB;2022;8;45
BB;2022;9;67
BB;2022;10;43
BB;2022;11;39
BB;2022;12;52
BB;2022;13;36
HB;2020;10;0
HB;2020;11;0
HB;2020;12;0
HB;2020;13;4
HB;2020;14;4
HB;2020;15;12
HB;2020;16;5
HB;2020;17;<4
HB;2020;18;5
HB;2020;19;<4
HB;2020;20;5
HB;2020;21;5
HB;2020;22;<4
HB;2020;23;<4
HB;2020;24;5
HB;2020;25;0
HB;2020;26;<4
HB;2020;27;<4
HB;2020;28;0
HB;2020;29;0
HB;2020;30;0
HB;2020;31;<4
HB;2020;32;0
HB;2020;33;0
HB;2020;34;<4
HB;2020;35;<4
HB;2020;36;<4
HB;2020;37;0
HB;2020;38;0
HB;2020;39;0
HB;2020;40;0
HB;2020;41;<4
HB;2020;42;<4
HB;2020;43;<4
HB;2020;44;11
HB;2020;45;14
HB;2020;46;7
HB;2020;47;17
HB;2020;48;16
HB;2020;49;14
HB;2020;50;19
HB;2020;51;16
HB;2020;52;16
HB;2020;53;24
HB;2021;1;16
HB;2021;2;8
HB;2021;3;17
HB;2021;4;19
HB;2021;5;26
HB;2021;6;18
HB;2021;7;14
HB;2021;8;19
HB;2021;9;17
HB;2021;10;15
HB;2021;11;9
HB;2021;12;17
HB;2021;13;7
HB;2021;14;14
HB;2021;15;14
HB;2021;16;10
HB;2021;17;9
HB;2021;18;7
HB;2021;19;<4
HB;2021;20;4
HB;2021;21;<4
HB;2021;22;<4
HB;2021;23;<4
HB;2021;24;<4
HB;2021;25;<4
HB;2021;26;<4
HB;2021;27;0
HB;2021;28;0
HB;2021;29;<4
HB;2021;30;0
HB;2021;31;0
HB;2021;32;<4
HB;2021;33;<4
HB;2021;34;0
HB;2021;35;<4
HB;2021;36;<4
HB;2021;37;5
HB;2021;38;<4
HB;2021;39;5
HB;2021;40;6
HB;2021;41;<4
HB;2021;42;5
HB;2021;43;<4
HB;2021;44;<4
HB;2021;45;<4
HB;2021;46;6
HB;2021;47;10
HB;2021;48;<4
HB;2021;49;13
HB;2021;50;12
HB;2021;51;19
HB;2021;52;9
HB;2022;1;4
HB;2022;2;12
HB;2022;3;16
HB;2022;4;10
HB;2022;5;6
HB;2022;6;8
HB;2022;7;9
HB;2022;8;7
HB;2022;9;11
HB;2022;10;5
HB;2022;11;10
HB;2022;12;7
HB;2022;13;7
HH;2020;10;0
HH;2020;11;0
HH;2020;12;<4
HH;2020;13;15
HH;2020;14;25
HH;2020;15;55
HH;2020;16;53
HH;2020;17;43
HH;2020;18;28
HH;2020;19;19
HH;2020;20;9
HH;2020;21;8
HH;2020;22;<4
HH;2020;23;<4
HH;2020;24;<4
HH;2020;25;0
HH;2020;26;<4
HH;2020;27;0
HH;2020;28;0
HH;2020;29;0
HH;2020;30;0
HH;2020;31;<4
HH;2020;32;0
HH;2020;33;0
HH;2020;34;<4
HH;2020;35;<4
HH;2020;36;<4
HH;2020;37;<4
HH;2020;38;0
HH;2020;39;<4
HH;2020;40;5
HH;2020;41;4
HH;2020;42;5
HH;2020;43;11
HH;2020;44;21
HH;2020;45;19
HH;2020;46;32
HH;2020;47;36
HH;2020;48;74
HH;2020;49;58
