Bundesland;Sterbejahr;Sterbewoche;Anzahl verstorbene COVID-19 Fälle
SN;2021;8;149
SN;2021;9;114
SN;2021;10;128
SN;2021;11;97
SN;2021;12;135
SN;2021;13;147
SN;2021;14;180
SN;2021;15;165
SN;2021;16;158
SN;2021;17;169
SN;2021;18;155
SN;2021;19;146
SN;2021;20;119
SN;2021;21;82
SN;2021;22;65
SN;2021;23;28
SN;2021;24;32
SN;2021;25;15
SN;2021;26;12
SN;2021;27;4
SN;2021;28;4
SN;2021;29;6
SN;2021;30;4
SN;2021;31;<4
SN;2021;32;<4
SN;2021;33;7
SN;2021;34;4
SN;2021;35;10
SN;2021;36;4
SN;2021;37;11
SN;2021;38;12
SN;2021;39;9
SN;2021;40;21
SN;2021;41;30
SN;2021;42;64
SN;2021;43;109
SN;2021;44;185
SN;2021;45;254
SN;2021;46;342
SN;2021;47;462
SN;2021;48;503
SN;2021;49;469
SN;2021;50;440
SN;2021;51;325
SN;2021;52;250
SN;2022;1;206
SN;2022;2;116
SN;2022;3;81
SN;2022;4;60
SN;2022;5;38
SN;2022;6;41
SN;2022;7;71
SN;2022;8;73
SN;2022;9;89
SN;2022;10;94
SN;2022;11;101
SN;2022;12;130
SN;2022;13;125
ST;2020;10;0
ST;2020;11;0
ST;2020;12;<4
ST;2020;13;7
ST;2020;14;5
ST;2020;15;12
ST;2020;16;8
ST;2020;17;6
ST;2020;18;8
ST;2020;19;6
ST;2020;20;<4
ST;2020;21;<4
ST;2020;22;<4
ST;2020;23;<4
ST;2020;24;<4
ST;2020;25;<4
ST;2020;26;<4
ST;2020;27;0
ST;2020;28;0
ST;2020;29;0
ST;2020;30;<4
ST;2020;31;0
ST;2020;32;0
ST;2020;33;0
ST;2020;34;<4
ST;2020;35;0
ST;2020;36;<4
ST;2020;37;0
ST;2020;38;<4
ST;2020;39;<4
ST;2020;40;0
ST;2020;41;<4
ST;2020;42;<4
ST;2020;43;5
ST;2020;44;14
ST;2020;45;11
ST;2020;46;20
ST;2020;47;30
ST;2020;48;53
ST;2020;49;63
ST;2020;50;116
ST;2020;51;145
ST;2020;52;226
ST;2020;53;260
ST;2021;1;244
ST;2021;2;286
ST;2021;3;282
ST;2021;4;230
ST;2021;5;197
ST;2021;6;158
ST;2021;7;131
ST;2021;8;95
ST;2021;9;74
ST;2021;10;76
ST;2021;11;48
ST;2021;12;69
ST;2021;13;82
ST;2021;14;82
ST;2021;15;89
ST;2021;16;84
ST;2021;17;84
ST;2021;18;61
ST;2021;19;52
ST;2021;20;40
ST;2021;21;27
ST;2021;22;23
ST;2021;23;9
ST;2021;24;9
ST;2021;25;<4
ST;2021;26;0
ST;2021;27;<4
ST;2021;28;<4
ST;2021;29;0
ST;2021;30;<4
ST;2021;31;0
ST;2021;32;<4
ST;2021;33;0
ST;2021;34;<4
ST;2021;35;<4
ST;2021;36;<4
ST;2021;37;6
ST;2021;38;7
ST;2021;39;11
ST;2021;40;7
ST;2021;41;13
ST;2021;42;15
ST;2021;43;24
ST;2021;44;40
ST;2021;45;50
ST;2021;46;72
ST;2021;47;87
ST;2021;48;113
ST;2021;49;116
ST;2021;50;124
ST;2021;51;111
ST;2021;52;94
ST;2022;1;71
ST;2022;2;52
ST;2022;3;43
ST;2022;4;24
ST;2022;5;26
ST;2022;6;33
ST;2022;7;36
ST;2022;8;56
ST;2022;9;54
ST;2022;10;51
ST;2022;11;79
ST;2022;12;54
ST;2022;13;58
SH;2020;10;<4
SH;2020;11;0
SH;2020;12;<4
SH;2020;13;7
SH;2020;14;20
SH;2020;15;24
SH;2020;16;27
SH;2020;17;23
SH;2020;18;20
SH;2020;19;6
SH;2020;20;7
SH;2020;21;5
SH;2020;22;5
SH;2020;23;<4
SH;2020;24;4
SH;2020;25;0
SH;2020;26;0
SH;2020;27;0
SH;2020;28;<4
SH;2020;29;<4
SH;2020;30;0
SH;2020;31;<4
SH;2020;32;0
SH;2020;33;0
SH;2020;34;<4
SH;2020;35;0
SH;2020;36;0
SH;2020;37;0
SH;2020;38;0
SH;2020;39;0
SH;2020;40;<4
SH;2020;41;0
SH;2020;42;<4
SH;2020;43;5
SH;2020;44;16
SH;2020;45;30
SH;2020;46;18
SH;2020;47;13
SH;2020;48;15
SH;2020;49;18
SH;2020;50;37
SH;2020;51;52
SH;2020;52;84
SH;2020;53;103
SH;2021;1;110
SH;2021;2;104
SH;2021;3;122
SH;2021;4;142
SH;2021;5;119
SH;2021;6;86
SH;2021;7;59
SH;2021;8;56
SH;2021;9;37
SH;2021;10;32
SH;2021;11;27
SH;2021;12;10
SH;2021;13;20
SH;2021;14;17
SH;2021;15;13
SH;2021;16;19
SH;2021;17;15
SH;2021;18;21
SH;2021;19;13
SH;2021;20;13
SH;2021;21;16
SH;2021;22;6
SH;2021;23;6
SH;2021;24;<4
SH;2021;25;<4
SH;2021;26;<4
SH;2021;27;<4
SH;2021;28;0
SH;2021;29;<4
SH;2021;30;<4
SH;2021;31;<4
SH;2021;32;<4
SH;2021;33;<4
SH;2021;34;6
SH;2021;35;12
SH;2021;36;6
SH;2021;37;11
SH;2021;38;<4
SH;2021;39;4
SH;2021;40;7
SH;2021;41;9
SH;2021;42;10
SH;2021;43;19
SH;2021;44;8
SH;2021;45;14
SH;2021;46;19
SH;2021;47;21
SH;2021;48;23
SH;2021;49;26
SH;2021;50;16
SH;2021;51;22
SH;2021;52;16
SH;2022;1;13
SH;2022;2;19
SH;2022;3;25
SH;2022;4;28
SH;2022;5;36
SH;2022;6;43
SH;2022;7;39
SH;2022;8;42
SH;2022;9;34
SH;2022;10;33
SH;2022;11;46
SH;2022;12;28
SH;2022;13;35
TH;2020;10;0
TH;2020;11;0
TH;2020;12;<4
TH;2020;13;<4
TH;2020;14;11
TH;2020;15;21
TH;2020;16;27
TH;2020;17;25
TH;2020;18;22
TH;2020;19;20
TH;2020;20;20
TH;2020;21;11
TH;2020;22;11
TH;2020;23;5
TH;2020;24;6
TH;2020;25;5
TH;2020;26;0
TH;2020;27;<4
TH;2020;28;<4
TH;2020;29;<4
TH;2020;30;0
TH;2020;31;<4
TH;2020;32;<4
TH;2020;33;0
TH;2020;34;0
TH;2020;35;0
TH;2020;36;0
TH;2020;37;<4
TH;2020;38;<4
TH;2020;39;0
TH;2020;40;<4
TH;2020;41;<4
TH;2020;42;4
TH;2020;43;<4
TH;2020;44;15
TH;2020;45;27
TH;2020;46;40
TH;2020;47;69
TH;2020;48;81
TH;2020;49;139
TH;2020;50;171
TH;2020;51;209
TH;2020;52;273
TH;2020;53;309
TH;2021;1;324
TH;2021;2;273
TH;2021;3;238
TH;2021;4;206
TH;2021;5;176
TH;2021;6;138
TH;2021;7;130
TH;2021;8;119
TH;2021;9;91
TH;2021;10;84
TH;2021;11;90
TH;2021;12;99
TH;2021;13;131
TH;2021;14;102
TH;2021;15;108
TH;2021;16;111
TH;2021;17;96
TH;2021;18;82
TH;2021;19;81
TH;2021;20;57
TH;2021;21;37
TH;2021;22;29
TH;2021;23;10
TH;2021;24;6
TH;2021;25;9
TH;2021;26;<4
TH;2021;27;<4
TH;2021;28;<4
TH;2021;29;<4
TH;2021;30;<4
TH;2021;31;0
TH;2021;32;<4
TH;2021;33;<4
TH;2021;34;0
TH;2021;35;<4
TH;2021;36;<4
TH;2021;37;4
TH;2021;38;8
TH;2021;39;10
TH;2021;40;12
TH;2021;41;23
TH;2021;42;37
TH;2021;43;74
TH;2021;44;99
TH;2021;45;143
TH;2021;46;203
TH;2021;47;208
TH;2021;48;253
TH;2021;49;251
TH;2021;50;228
TH;2021;51;186
TH;2021;52;139
TH;2022;1;117
TH;2022;2;72
TH;2022;3;50
TH;2022;4;21
TH;2022;5;20
TH;2022;6;25
TH;2022;7;26
TH;2022;8;33
TH;2022;9;41
TH;2022;10;52
TH;2022;11;68
TH;2022;12;63
TH;2022;13;56
