Bundesland;Sterbewoche;Sterbejahr;Anzahl verstorbene COVID-19 Fälle
HB;44;2020;11
HB;45;2020;14
HB;46;2020;6
HB;47;2020;17
HB;48;2020;15
HB;49;2020;14
HB;50;2020;19
HB;51;2020;16
HB;52;2020;15
HB;53;2020;24
HH;1;2021;86
HH;2;2021;77
HH;3;2021;82
HH;4;2021;53
HH;5;2021;48
HH;6;2021;30
HH;7;2021;34
HH;8;2021;33
HH;9;2021;25
HH;10;2020;0
HH;10;2021;15
HH;11;2020;0
HH;11;2021;21
HH;12;2020;<4
HH;12;2021;18
HH;13;2020;15
HH;14;2020;24
HH;15;2020;54
HH;16;2020;52
HH;17;2020;42
HH;18;2020;28
HH;19;2020;19
HH;20;2020;9
HH;21;2020;8
HH;22;2020;<4
HH;23;2020;<4
HH;24;2020;<4
HH;25;2020;0
HH;26;2020;<4
HH;27;2020;0
HH;28;2020;0
HH;29;2020;0
HH;30;2020;0
HH;31;2020;<4
HH;32;2020;0
HH;33;2020;0
HH;34;2020;<4
HH;35;2020;<4
HH;36;2020;<4
HH;37;2020;<4
HH;38;2020;0
HH;39;2020;<4
HH;40;2020;5
HH;41;2020;4
HH;42;2020;5
HH;43;2020;11
HH;44;2020;21
HH;45;2020;15
HH;46;2020;31
HH;47;2020;36
HH;48;2020;67
HH;49;2020;58
HH;50;2020;62
HH;51;2020;91
HH;52;2020;80
HH;53;2020;97
HE;1;2021;491
HE;2;2021;416
HE;3;2021;352
HE;4;2021;338
HE;5;2021;269
HE;6;2021;213
HE;7;2021;146
HE;8;2021;106
HE;9;2021;94
HE;10;2020;0
HE;10;2021;91
HE;11;2020;0
HE;11;2021;74
HE;12;2020;4
HE;12;2021;101
HE;13;2020;14
HE;14;2020;54
HE;15;2020;90
HE;16;2020;95
HE;17;2020;82
HE;18;2020;42
HE;19;2020;36
HE;20;2020;21
HE;21;2020;21
HE;22;2020;12
HE;23;2020;9
HE;24;2020;4
HE;25;2020;6
HE;26;2020;<4
HE;27;2020;<4
HE;28;2020;<4
HE;29;2020;<4
HE;30;2020;<4
HE;31;2020;4
HE;32;2020;<4
HE;33;2020;<4
HE;34;2020;<4
HE;35;2020;5
HE;36;2020;0
HE;37;2020;4
HE;38;2020;5
HE;39;2020;7
HE;40;2020;<4
HE;41;2020;11
HE;42;2020;20
HE;43;2020;52
HE;44;2020;68
HE;45;2020;122
HE;46;2020;153
HE;47;2020;191
HE;48;2020;236
HE;49;2020;309
HE;50;2020;369
HE;51;2020;456
HE;52;2020;511
HE;53;2020;503
MV;1;2021;66
MV;2;2021;70
MV;3;2021;95
MV;4;2021;98
MV;5;2021;82
MV;6;2021;54
MV;7;2021;51
MV;8;2021;32
MV;9;2021;36
MV;10;2020;0
MV;10;2021;19
MV;11;2020;0
MV;11;2021;24
MV;12;2020;0
MV;12;2021;20
MV;13;2020;<4
MV;14;2020;6
MV;15;2020;<4
MV;16;2020;4
MV;17;2020;<4
MV;18;2020;<4
MV;19;2020;<4
MV;20;2020;0
MV;21;2020;0
MV;22;2020;0
MV;23;2020;0
MV;24;2020;0
MV;25;2020;0
MV;26;2020;0
MV;27;2020;0
MV;28;2020;0
MV;29;2020;0
MV;30;2020;0
MV;31;2020;0
MV;32;2020;0
MV;33;2020;0
MV;34;2020;0
MV;35;2020;0
MV;36;2020;0
MV;37;2020;0
MV;38;2020;0
MV;39;2020;0
MV;40;2020;0
MV;41;2020;0
MV;42;2020;<4
MV;43;2020;<4
MV;44;2020;<4
MV;45;2020;6
MV;46;2020;9
MV;47;2020;16
MV;48;2020;12
MV;49;2020;15
MV;50;2020;22
MV;51;2020;25
MV;52;2020;41
MV;53;2020;44
NI;1;2021;269
NI;2;2021;301
NI;3;2021;326
NI;4;2021;294
NI;5;2021;310
NI;6;2021;248
NI;7;2021;190
NI;8;2021;190
NI;9;2021;119
NI;10;2020;0
NI;10;2021;100
NI;11;2020;0
NI;11;2021;84
NI;12;2020;7
NI;12;2021;78
NI;13;2020;30
NI;14;2020;97
NI;15;2020;136
NI;16;2020;92
NI;17;2020;82
NI;18;2020;61
NI;19;2020;35
NI;20;2020;31
NI;21;2020;31
NI;22;2020;12
NI;23;2020;6
NI;24;2020;8
NI;25;2020;7
NI;26;2020;7
NI;27;2020;8
NI;28;2020;<4
NI;29;2020;<4
NI;30;2020;<4
NI;31;2020;<4
NI;32;2020;<4
NI;33;2020;<4
NI;34;2020;7
NI;35;2020;<4
NI;36;2020;0
NI;37;2020;<4
NI;38;2020;7
NI;39;2020;5
NI;40;2020;13
NI;41;2020;11
NI;42;2020;18
NI;43;2020;31
NI;44;2020;52
NI;45;2020;88
NI;46;2020;95
NI;47;2020;137
NI;48;2020;163
NI;49;2020;142
NI;50;2020;195
NI;51;2020;214
NI;52;2020;270
NI;53;2020;265
NW;1;2021;880
NW;2;2021;877
NW;3;2021;773
NW;4;2021;719
NW;5;2021;575
NW;6;2021;505
NW;7;2021;409
NW;8;2021;328
NW;9;2021;250
NW;10;2020;0
NW;10;2021;238
NW;11;2020;8
NW;11;2021;175
NW;12;2020;49
NW;12;2021;213
NW;13;2020;99
NW;14;2020;267
NW;15;2020;322
NW;16;2020;301
NW;17;2020;218
NW;18;2020;144
NW;19;2020;98
NW;20;2020;62
NW;21;2020;42
NW;22;2020;22
NW;23;2020;30
NW;24;2020;16
NW;25;2020;9
NW;26;2020;23
NW;27;2020;16
NW;28;2020;7
NW;29;2020;11
NW;30;2020;13
NW;31;2020;9
NW;32;2020;17
NW;33;2020;19
NW;34;2020;17
NW;35;2020;16
NW;36;2020;11
NW;37;2020;9
NW;38;2020;17
NW;39;2020;20
NW;40;2020;18
NW;41;2020;38
NW;42;2020;56
NW;43;2020;101
NW;44;2020;205
NW;45;2020;271
NW;46;2020;356
NW;47;2020;420
NW;48;2020;568
NW;49;2020;598
NW;50;2020;722
NW;51;2020;913
NW;52;2020;1047
NW;53;2020;1067
RP;1;2021;247
RP;2;2021;195
RP;3;2021;247
RP;4;2021;204
RP;5;2021;168
RP;6;2021;100
RP;7;2021;71
RP;8;2021;55
RP;9;2021;31
RP;10;2020;0
RP;10;2021;32
RP;11;2020;0
RP;11;2021;37
RP;12;2020;5
RP;12;2021;34
RP;13;2020;18
RP;14;2020;24
RP;15;2020;38
RP;16;2020;41
RP;17;2020;40
RP;18;2020;22
RP;19;2020;19
RP;20;2020;18
RP;21;2020;7
RP;22;2020;0
RP;23;2020;<4
RP;24;2020;<4
RP;25;2020;0
RP;26;2020;<4
RP;27;2020;0
RP;28;2020;<4
RP;29;2020;<4
RP;30;2020;0
RP;31;2020;<4
RP;32;2020;<4
RP;33;2020;<4
RP;34;2020;<4
RP;35;2020;0
RP;36;2020;<4
RP;37;2020;<4
RP;38;2020;0
RP;39;2020;6
RP;40;2020;<4
RP;41;2020;5
RP;42;2020;7
RP;43;2020;7
RP;44;2020;33
RP;45;2020;43
RP;46;2020;65
RP;47;2020;94
RP;48;2020;150
RP;49;2020;191
RP;50;2020;234
