Sterbejahr;Sterbewoche;AG 0-9 Jahre;AG 10-19 Jahre;AG 20-29 Jahre;AG 30-39 Jahre;AG 40-49 Jahre;AG 50-59 Jahre;AG 60-69 Jahre;AG 70-79 Jahre;AG 80-89 Jahre;AG 90+ Jahre
2020;10;0;0;0;0;0;<4;<4;0;0;0
2020;11;0;0;0;0;0;0;<4;6;11;0
2020;12;0;0;0;0;<4;8;7;36;85;25
2020;13;0;0;<4;<4;7;19;60;143;294;74
2020;14;0;0;<4;5;9;55;127;320;592;260
2020;15;<4;0;<4;<4;14;51;142;392;808;334
2020;16;0;0;0;<4;13;38;144;364;707;328
2020;17;0;<4;<4;5;4;37;112;239;534;243
2020;18;0;0;<4;<4;4;39;90;176;340;146
2020;19;0;0;<4;<4;5;13;49;120;222;104
2020;20;0;0;0;<4;4;22;52;81;133;60
2020;21;0;0;<4;0;5;9;25;61;121;53
2020;22;0;0;0;<4;<4;8;20;38;62;20
2020;23;0;0;0;<4;<4;7;13;17;55;21
2020;24;0;0;0;<4;<4;<4;11;22;27;9
2020;25;0;0;0;0;<4;4;6;14;17;10
2020;26;0;0;0;0;<4;7;12;9;18;8
2020;27;0;0;0;0;<4;<4;9;13;13;6
2020;28;0;0;0;0;<4;5;5;8;4;6
2020;29;0;0;0;0;0;<4;4;6;11;<4
2020;30;0;0;0;0;<4;<4;4;6;10;6
2020;31;0;0;0;0;<4;0;6;8;9;6
2020;32;0;0;<4;0;0;<4;<4;8;12;4
2020;33;0;0;0;0;0;<4;4;6;14;6
2020;34;0;0;0;0;<4;<4;5;9;15;9
2020;35;0;0;0;<4;0;8;7;11;10;<4
2020;36;0;0;0;<4;0;<4;<4;8;<4;<4
2020;37;0;0;0;0;0;<4;<4;9;15;<4
2020;38;0;0;0;<4;0;5;5;10;21;12
2020;39;0;0;0;0;<4;4;4;16;25;16
2020;40;0;0;0;0;0;6;<4;17;39;17
2020;41;0;0;<4;0;<4;4;15;34;47;21
2020;42;0;0;<4;<4;<4;7;15;44;125;46
2020;43;0;0;<4;<4;7;5;38;76;175;109
2020;44;0;<4;0;<4;6;26;58;148;358;198
2020;45;0;0;<4;<4;5;29;89;225;609;303
2020;46;0;0;0;6;16;46;100;322;789;386
2020;47;0;0;4;<4;18;48;158;413;980;512
2020;48;0;0;4;<4;16;70;198;573;1320;741
2020;49;<4;0;<4;6;17;65;244;646;1607;856
2020;50;<4;0;<4;0;17;95;291;784;2082;1076
2020;51;0;0;<4;13;28;110;359;902;2546;1314
2020;52;0;0;<4;<4;18;129;394;1068;2835;1427
2020;53;<4;0;4;6;21;144;394;1077;2745;1457
2021;1;<4;0;<4;6;15;131;396;1006;2630;1349
2021;2;0;0;4;4;17;113;360;970;2325;1246
2021;3;0;0;<4;8;24;111;364;868;2262;1139
2021;4;0;0;<4;<4;20;86;314;755;1896;1008
2021;5;0;0;<4;7;16;91;299;634;1528;750
2021;6;0;0;<4;<4;8;82;221;551;1268;547
2021;7;0;<4;0;<4;13;69;172;452;862;452
2021;8;0;0;<4;7;14;61;160;369;791;303
2021;9;<4;0;0;11;10;42;156;311;626;199
2021;10;<4;<4;<4;14;9;43;140;287;528;203
2021;11;0;0;<4;6;15;57;131;262;469;172
2021;12;0;<4;<4;<4;18;65;157;279;480;183
2021;13;0;<4;<4;19;28;86;185;333;557;159
2021;14;0;0;<4;7;27;83;209;390;581;207
2021;15;0;0;<4;6;20;93;268;423;531;160
2021;16;0;<4;4;8;20;121;259;473;512;180
2021;17;<4;<4;<4;6;32;108;249;492;522;160
2021;18;0;0;<4;17;35;121;244;414;432;143
2021;19;0;<4;4;7;23;100;220;329;337;116
2021;20;<4;0;<4;5;29;90;164;293;247;84
2021;21;0;0;<4;6;13;68;120;201;204;62
2021;22;0;0;0;4;15;48;93;122;143;36
2021;23;0;0;0;4;15;43;59;66;72;22
2021;24;<4;0;0;<4;9;22;51;73;51;15
2021;25;0;<4;0;<4;4;11;31;36;37;8
2021;26;0;0;0;<4;6;17;30;16;17;5
2021;27;0;0;0;<4;<4;8;18;14;12;<4
2021;28;0;0;0;0;<4;7;7;14;23;<4
2021;29;0;0;<4;<4;<4;14;12;11;14;<4
2021;30;0;0;0;<4;<4;8;8;6;12;<4
2021;31;0;0;0;0;0;5;7;17;19;6
2021;32;0;0;0;<4;<4;<4;10;16;26;15
2021;33;<4;0;<4;<4;5;10;17;31;44;15
2021;34;<4;0;0;<4;6;8;25;36;54;26
2021;35;0;0;0;6;15;23;33;48;85;45
2021;36;0;<4;<4;<4;18;24;39;66;98;59
2021;37;0;0;6;4;21;29;38;79;147;65
2021;38;0;<4;<4;11;13;36;45;85;122;43
