Sterbjahr;Sterbewoche;AG 0-9 Jahre;AG 10-19 Jahre;AG 20-29 Jahre;AG 30-39 Jahre;AG 40-49 Jahre;AG 50-59 Jahre;AG 60-69 Jahre;AG 70-79 Jahre;AG 80-89 Jahre;AG 90+ Jahre
2020;10;0;0;0;0;0;<4;<4;0;0;0
2020;11;0;0;0;0;0;0;<4;6;11;0
2020;12;0;0;0;0;<4;8;7;36;85;25
2020;13;0;0;<4;<4;7;20;60;144;292;75
2020;14;0;0;<4;5;8;54;126;321;592;260
2020;15;<4;0;<4;0;14;51;139;391;808;332
2020;16;0;0;0;<4;13;36;146;360;706;331
2020;17;0;<4;<4;6;4;37;111;236;533;241
2020;18;0;0;<4;<4;4;40;88;174;332;145
2020;19;0;0;<4;<4;5;13;48;121;221;105
2020;20;0;0;0;<4;4;22;54;81;134;60
2020;21;0;0;<4;0;6;10;24;62;118;52
2020;22;0;0;0;<4;<4;8;20;39;62;19
2020;23;0;0;0;<4;<4;7;13;17;54;21
2020;24;0;0;0;<4;<4;<4;12;21;25;10
2020;25;0;0;0;0;<4;4;6;13;16;9
2020;26;0;0;0;0;<4;6;12;9;17;7
2020;27;0;0;0;0;<4;<4;9;14;12;6
2020;28;0;0;0;0;<4;5;4;8;4;6
2020;29;0;0;0;0;0;<4;4;6;12;<4
2020;30;0;0;0;0;<4;<4;4;6;9;6
2020;31;0;0;0;0;0;0;6;8;9;6
2020;32;0;0;<4;0;0;<4;<4;8;12;4
2020;33;0;0;0;0;0;<4;4;6;14;6
2020;34;0;0;0;0;<4;<4;5;8;15;9
2020;35;0;0;0;<4;0;7;7;10;10;<4
2020;36;0;0;0;<4;0;<4;<4;8;<4;<4
2020;37;0;0;0;0;0;<4;<4;9;14;<4
2020;38;0;0;0;<4;0;6;5;10;20;12
2020;39;0;0;0;0;<4;<4;4;15;25;16
2020;40;0;0;0;0;0;6;<4;17;39;15
2020;41;0;0;<4;0;<4;<4;16;34;46;20
2020;42;0;0;<4;<4;<4;7;15;41;121;45
2020;43;0;0;<4;<4;5;5;37;74;172;105
2020;44;0;<4;0;<4;6;25;55;144;348;195
2020;45;0;0;<4;<4;5;29;87;217;581;284
2020;46;0;0;0;6;16;45;98;306;763;366
2020;47;0;0;4;<4;17;47;154;392;934;485
2020;48;0;0;4;<4;16;66;194;533;1255;697
2020;49;<4;0;<4;5;17;56;231;612;1524;784
2020;50;<4;0;<4;<4;16;95;261;721;1950;970
2020;51;0;0;<4;13;26;102;334;827;2364;1173
2020;52;0;0;<4;<4;16;112;358;975;2552;1280
2020;53;0;0;<4;7;15;71;197;585;1454;764
