Sterbejahr;Sterbewoche;AG 0-9 Jahre;AG 10-19 Jahre;AG 20-29 Jahre;AG 30-39 Jahre;AG 40-49 Jahre;AG 50-59 Jahre;AG 60-69 Jahre;AG 70-79 Jahre;AG 80-89 Jahre;AG 90+ Jahre
2020;10;0;0;0;0;0;<4;<4;0;0;0
2020;11;0;0;0;0;0;0;<4;6;11;0
2020;12;0;0;0;0;<4;8;7;36;85;25
2020;13;0;0;<4;<4;7;19;60;143;294;75
2020;14;0;0;<4;5;9;55;127;320;594;260
2020;15;<4;0;<4;<4;14;51;142;392;809;334
2020;16;0;0;0;<4;13;38;145;365;707;328
2020;17;0;<4;<4;5;4;37;112;239;534;243
2020;18;0;0;<4;<4;4;39;90;176;340;146
2020;19;0;0;<4;<4;5;13;49;120;222;104
2020;20;0;0;0;<4;4;22;52;81;133;60
2020;21;0;0;<4;0;5;9;25;62;121;53
2020;22;0;0;0;<4;<4;8;20;38;62;20
2020;23;0;0;0;<4;<4;7;13;17;55;21
2020;24;0;0;0;<4;<4;<4;11;22;26;9
2020;25;0;0;0;0;<4;4;6;14;17;10
2020;26;0;0;0;0;<4;7;12;9;17;8
2020;27;0;0;0;0;<4;<4;9;13;13;6
2020;28;0;0;0;0;<4;5;5;8;4;6
2020;29;0;0;0;0;0;<4;4;6;11;<4
2020;30;0;0;0;0;<4;<4;4;6;10;6
2020;31;0;0;0;0;<4;0;6;8;9;6
2020;32;0;0;<4;0;0;<4;<4;8;12;4
2020;33;0;0;0;0;0;<4;4;6;14;6
2020;34;0;0;0;0;<4;<4;5;9;15;9
2020;35;0;0;0;<4;0;8;7;11;10;<4
2020;36;0;0;0;<4;0;<4;<4;8;<4;<4
2020;37;0;0;0;0;0;<4;<4;9;15;<4
2020;38;0;0;0;<4;0;5;5;10;21;12
2020;39;0;0;0;0;<4;<4;4;16;25;16
2020;40;0;0;0;0;0;6;<4;17;39;17
2020;41;0;0;<4;0;<4;4;15;34;47;21
2020;42;0;0;<4;<4;<4;7;15;44;125;46
2020;43;0;0;<4;<4;7;5;38;76;176;109
2020;44;0;<4;0;<4;6;26;58;148;358;198
2020;45;0;0;<4;<4;5;29;89;224;609;302
2020;46;0;0;0;6;16;46;101;322;789;386
2020;47;0;0;4;<4;18;48;159;412;980;512
2020;48;0;0;4;<4;16;70;197;573;1319;742
2020;49;<4;0;<4;6;17;65;244;645;1606;857
2020;50;<4;0;<4;0;17;96;290;784;2083;1075
2020;51;0;0;<4;13;28;110;358;900;2543;1314
2020;52;0;0;<4;<4;18;130;394;1068;2826;1422
2020;53;<4;0;4;6;21;143;392;1076;2734;1451
2021;1;<4;0;0;6;15;130;395;1001;2619;1344
2021;2;0;0;4;4;17;113;360;971;2321;1243
2021;3;0;0;<4;8;24;111;363;864;2257;1135
2021;4;0;0;<4;<4;19;86;314;755;1889;1006
2021;5;0;0;<4;5;16;91;295;633;1526;749
2021;6;0;0;<4;<4;8;82;220;550;1265;547
2021;7;0;<4;0;<4;13;69;170;449;857;450
2021;8;0;0;<4;7;14;61;159;368;789;302
2021;9;<4;0;0;11;10;42;156;310;625;199
2021;10;<4;<4;<4;14;9;43;139;286;527;203
2021;11;0;0;<4;6;15;57;131;262;471;171
2021;12;0;<4;<4;<4;18;65;156;277;475;183
2021;13;0;<4;<4;19;27;85;183;331;553;155
2021;14;0;0;<4;7;26;83;208;385;575;205
2021;15;0;0;<4;6;20;93;265;423;523;156
2021;16;0;<4;4;8;20;120;257;473;511;180
2021;17;<4;<4;<4;6;32;107;247;485;517;157
2021;18;0;0;<4;17;36;122;242;413;431;139
2021;19;0;<4;4;8;22;99;215;327;333;116
2021;20;<4;0;<4;5;27;88;165;288;242;83
2021;21;0;0;<4;5;13;67;116;200;200;62
2021;22;0;0;0;<4;15;46;92;122;141;34
2021;23;0;0;0;4;14;42;57;63;70;20
2021;24;<4;0;0;<4;9;22;46;71;50;15
2021;25;0;<4;0;<4;4;11;29;34;34;6
2021;26;0;0;0;<4;4;16;26;15;16;4
2021;27;0;0;0;<4;<4;7;16;12;11;<4
2021;28;0;0;0;0;<4;7;4;12;20;<4
