Sterbejahr;Sterbewoche;AG 0-9 Jahre;AG 10-19 Jahre;AG 20-29 Jahre;AG 30-39 Jahre;AG 40-49 Jahre;AG 50-59 Jahre;AG 60-69 Jahre;AG 70-79 Jahre;AG 80-89 Jahre;AG 90+ Jahre
2020;10;0;0;0;0;0;<4;<4;0;0;0
2020;11;0;0;0;0;0;0;<4;6;11;0
2020;12;0;0;0;0;<4;8;7;36;86;25
2020;13;0;0;<4;<4;7;19;60;144;292;75
2020;14;0;0;<4;5;9;54;127;321;592;260
2020;15;<4;0;<4;0;14;51;140;391;808;332
2020;16;0;0;0;<4;13;37;146;362;705;330
2020;17;0;<4;<4;5;4;37;112;237;532;240
2020;18;0;0;<4;<4;4;40;88;174;336;146
2020;19;0;0;<4;<4;5;13;48;122;221;105
2020;20;0;0;0;<4;4;22;54;81;134;60
2020;21;0;0;<4;0;6;10;25;62;118;53
2020;22;0;0;0;<4;<4;8;20;39;62;19
2020;23;0;0;0;<4;<4;7;13;17;55;21
2020;24;0;0;0;<4;<4;<4;12;22;26;10
2020;25;0;0;0;0;<4;4;6;13;17;10
2020;26;0;0;0;0;<4;6;12;10;17;7
2020;27;0;0;0;0;<4;<4;9;14;13;6
2020;28;0;0;0;0;<4;5;4;8;5;6
2020;29;0;0;0;0;0;<4;4;6;12;<4
2020;30;0;0;0;0;<4;<4;4;6;9;6
2020;31;0;0;0;0;<4;0;6;8;9;6
2020;32;0;0;<4;0;0;<4;<4;8;12;4
2020;33;0;0;0;0;0;<4;4;6;14;6
2020;34;0;0;0;0;<4;<4;5;8;15;9
2020;35;0;0;0;<4;0;7;6;10;10;<4
2020;36;0;0;0;<4;0;<4;<4;8;<4;<4
2020;37;0;0;0;0;0;<4;<4;9;15;<4
2020;38;0;0;0;<4;0;5;5;10;20;12
2020;39;0;0;0;0;<4;<4;4;15;25;16
2020;40;0;0;0;0;0;6;<4;17;39;16
2020;41;0;0;<4;0;<4;4;16;34;46;20
2020;42;0;0;<4;<4;<4;7;15;43;123;46
2020;43;0;0;<4;<4;4;5;38;75;173;108
2020;44;0;<4;0;<4;6;26;56;147;357;196
2020;45;0;0;<4;<4;5;29;89;221;598;292
2020;46;0;0;0;6;16;46;98;315;780;377
2020;47;0;0;4;<4;17;48;158;402;965;499
2020;48;0;0;4;<4;17;68;200;558;1297;732
2020;49;<4;0;<4;6;17;62;240;637;1592;833
2020;50;<4;0;<4;<4;17;95;285;765;2058;1062
2020;51;0;0;<4;13;28;108;357;886;2521;1283
2020;52;0;0;<4;<4;18;126;392;1049;2781;1389
2020;53;<4;0;<4;7;21;139;382;1059;2685;1425
2021;1;<4;0;0;6;15;129;384;988;2579;1312
2021;2;0;0;4;4;18;111;354;951;2266;1216
2021;3;0;0;0;7;24;106;361;845;2208;1099
2021;4;0;0;<4;<4;19;86;305;735;1845;978
2021;5;0;0;<4;5;17;88;285;608;1467;725
2021;6;<4;0;<4;<4;7;82;215;524;1217;516
2021;7;0;<4;0;<4;14;68;162;432;823;430
2021;8;0;0;<4;7;14;56;148;343;727;278
2021;9;<4;0;0;10;9;40;151;290;580;191
2021;10;<4;<4;<4;12;9;40;128;251;468;183
2021;11;0;0;<4;6;13;50;111;226;407;140
