Bundesland;Sterbewoche;Sterbejahr;Anzahl verstorbene COVID-19 Fälle
BW;1;2021;575
BW;2;2021;470
BW;3;2021;435
BW;4;2021;341
BW;5;2021;260
BW;6;2021;231
BW;7;2021;142
BW;8;2021;113
BW;9;2021;130
BW;10;2020;<4
BW;10;2021;107
BW;11;2020;5
BW;11;2021;91
BW;12;2020;44
BW;12;2021;115
BW;13;2020;175
BW;13;2021;136
BW;14;2020;316
BW;14;2021;176
BW;15;2020;352
BW;15;2021;147
BW;16;2020;315
BW;16;2021;182
BW;17;2020;233
BW;17;2021;180
BW;18;2020;144
BW;18;2021;154
BW;19;2020;89
BW;19;2021;144
BW;20;2020;66
BW;20;2021;107
BW;21;2020;45
BW;21;2021;88
BW;22;2020;31
BW;22;2021;52
BW;23;2020;18
BW;23;2021;42
BW;24;2020;12
BW;24;2021;39
BW;25;2020;5
BW;25;2021;19
BW;26;2020;6
BW;26;2021;10
BW;27;2020;4
BW;27;2021;5
BW;28;2020;<4
BW;28;2021;5
BW;29;2020;<4
BW;29;2021;9
BW;30;2020;8
BW;30;2021;<4
BW;31;2020;4
BW;31;2021;7
BW;32;2020;<4
BW;32;2021;5
BW;33;2020;<4
BW;33;2021;12
BW;34;2020;4
BW;34;2021;28
BW;35;2020;<4
BW;35;2021;41
BW;36;2020;<4
BW;36;2021;53
BW;37;2020;<4
BW;37;2021;66
BW;38;2020;7
BW;38;2021;42
BW;39;2020;9
BW;39;2021;50
BW;40;2020;12
BW;40;2021;64
BW;41;2020;15
BW;41;2021;74
BW;42;2020;47
BW;42;2021;84
BW;43;2020;54
BW;43;2021;135
BW;44;2020;109
BW;44;2021;150
BW;45;2020;156
BW;45;2021;176
BW;46;2020;199
BW;46;2021;212
BW;47;2020;264
BW;47;2021;279
BW;48;2020;380
BW;48;2021;294
BW;49;2020;425
BW;49;2021;282
BW;50;2020;546
BW;50;2021;252
BW;51;2020;608
BW;51;2021;184
BW;52;2020;626
BW;53;2020;581
BY;1;2021;861
BY;2;2021;834
BY;3;2021;761
BY;4;2021;556
BY;5;2021;457
BY;6;2021;341
BY;7;2021;251
BY;8;2021;217
BY;9;2021;179
BY;10;2020;0
BY;10;2021;156
BY;11;2020;5
BY;11;2021;166
BY;12;2020;40
BY;12;2021;136
BY;13;2020;183
BY;13;2021;187
BY;14;2020;434
BY;14;2021;212
BY;15;2020;522
BY;15;2021;241
BY;16;2020;479
BY;16;2021;218
BY;17;2020;317
BY;17;2021;218
BY;18;2020;231
BY;18;2021;213
BY;19;2020;137
BY;19;2021;158
BY;20;2020;86
BY;20;2021;137
BY;21;2020;75
BY;21;2021;95
BY;22;2020;37
BY;22;2021;61
BY;23;2020;27
BY;23;2021;40
BY;24;2020;15
BY;24;2021;35
BY;25;2020;14
BY;25;2021;20
BY;26;2020;8
BY;26;2021;14
BY;27;2020;6
BY;27;2021;12
BY;28;2020;10
BY;28;2021;8
BY;29;2020;4
BY;29;2021;12
BY;30;2020;<4
BY;30;2021;6
BY;31;2020;<4
BY;31;2021;9
BY;32;2020;<4
BY;32;2021;13
BY;33;2020;<4
BY;33;2021;18
BY;34;2020;<4
BY;34;2021;21
BY;35;2020;6
BY;35;2021;37
BY;36;2020;<4
BY;36;2021;59
BY;37;2020;8
BY;37;2021;69
BY;38;2020;10
BY;38;2021;80
BY;39;2020;9
BY;39;2021;83
BY;40;2020;16
BY;40;2021;89
BY;41;2020;16
BY;41;2021;114
BY;42;2020;37
BY;42;2021;127
BY;43;2020;57
BY;43;2021;154
BY;44;2020;84
BY;44;2021;282
BY;45;2020;185
BY;45;2021;378
BY;46;2020;287
BY;46;2021;494
BY;47;2020;354
BY;47;2021;580
BY;48;2020;499
BY;48;2021;568
BY;49;2020;674
BY;49;2021;453
BY;50;2020;773
BY;50;2021;349
BY;51;2020;914
BY;51;2021;262
BY;52;2020;956
BY;53;2020;913
BE;1;2021;258
BE;2;2021;225
BE;3;2021;220
BE;4;2021;166
BE;5;2021;113
BE;6;2021;96
BE;7;2021;86
BE;8;2021;60
BE;9;2021;59
BE;10;2020;0
BE;10;2021;41
BE;11;2020;0
BE;11;2021;47
BE;12;2020;<4
BE;12;2021;34
BE;13;2020;18
BE;13;2021;34
BE;14;2020;22
BE;14;2021;37
BE;15;2020;53
BE;15;2021;33
BE;16;2020;29
BE;16;2021;39
BE;17;2020;25
BE;17;2021;33
BE;18;2020;16
BE;18;2021;19
BE;19;2020;20
BE;19;2021;15
BE;20;2020;9
BE;20;2021;16
BE;21;2020;5
BE;21;2021;19
